70203,70203,34671,34671
70910,70843.3894683057,34906,34914.0747090984
71613,71478.9932518758,35145,35159.4938905548
72295,72109.8568253534,35387,35407.1499476191
72965,72736.0321433154,35632,35656.9356822594
73637,73357.5662920131,35878,35908.7443646332
74306,73972.9582238273,36128,36162.4694556358
74976,74581.2292923866,36383,36418.0049904139
75643,75182.5237579024,36639,36675.2451775835
76312,75777.0019850403,36899,36934.0848814728
76962,76364.8307193065,37161,37194.419246007
77590,76946.1563077572,37426,37456.1436943056
78209,77521.0829676309,37693,37719.1542803685
78814,78089.7161429987,37961,37983.3472927694
79414,78652.1869275565,38232,38248.6196133066
80001,79209.5255690208,38505,38514.8684183224
80579,79762.5958396119,38780,38781.991364115
81148,80311.5006699752,39057,39049.8866349942
81705,80856.3495853025,39335,39318.4527132788
82244,81397.2655964451,39615,39587.5887083161
82770,81934.4046055627,39896,39857.1940526105
83283,82467.9981413942,40177,40127.1687133691
83785,82998.287290861,40458,40397.4131192612
84278,83525.5106710179,40741,40667.8281906923
84764,84049.9045251847,41022,40938.3153290079
85250,84571.7032753863,41303,41208.7763979358
85725,85091.1421313892,41582,41479.1138822789
86190,85608.457289634,41860,41749.2305894801
86641,86123.8856343367,42136,42019.0300386892
87087,86637.6583779545,42410,42288.4161046429
87523,87149.9906382971,42681,42557.2932362197
87954,87661.0966830063,42950,42825.5664316635
88382,88171.1930652923,43216,43093.1413579579
88812,88680.4970266092,43478,43359.9236876148
89243,89189.2269502869,43735,43625.8198711821
89671,89697.5998829815,43990,43890.7373372563
90099,90205.9335347785,44242,44154.4821155879
90524,90714.5862340695,44491,44416.8183386174
90952,91223.7669852835,44738,44677.6584214437
91374,91733.6808470731,44982,44936.9172168994
91795,92244.5312791182,45223,45194.5102682791
92213,92756.5212993888,45462,45450.352650906
92630,93269.8592779234,45699,45704.3546786872
93050,93784.7527203026,45932,45956.4264125348
93480,94301.4048631818,46164,46206.4797443517
93918,94820.0150068297,46393,46454.4282384477
94368,95340.7783628476,46622,46700.1871134259
94825,95863.8861478294,46850,46943.6730928359
95287,96389.525900546,47077,47184.8041822895
95759,96917.8801087816,47304,47423.5001442396
96237,97449.1752185383,47530,47659.6637020016
96725,97980.5023675828,47755,47894.4230374012
97217,98508.9853114936,47981,48128.85605489
97714,99034.5465676405,48206,48362.9303953444
98225,99557.1262395417,48431,48596.6070911596
98760,100076.672461897,48656,48829.8465349712
99310,100593.107021721,48882,49062.6089476669
99875,101106.329960431,49108,49294.8543997554
100447,101616.220417169,49334,49526.5435478638
101025,102122.652878734,49561,49757.6376113774
101607,102625.5018403,49789,49988.0978094691
102190,103124.639173404,50019,50217.8856806507
102785,103619.925276835,50250,50446.9645598817
103377,104111.217677739,50481,50675.2982874252
103977,104598.370492704,50714,50902.8513035231
104576,105081.234370002,50948,51129.5893000824
105176,105559.669353477,51181,51355.4800032849
105780,106033.536479067,51416,51580.4922792224
106370,106502.695745013,51652,51804.5957085001
106948,106967.002614847,51887,52027.7631357712
107525,107426.310327617,52123,52249.9690147834
108096,107880.46882963,52360,52471.1901367741
108648,108329.32465656,52596,52691.4060781363
109178,108772.721374004,52829,52910.5988683949
109696,109210.498839452,53064,53128.7536109129
110206,109642.494727755,53297,53345.8572502813
110698,110068.543506429,53528,53561.8995240776
111184,110488.475797094,53758,53776.8735959641
111657,110902.119703583,53986,53990.774897197
112116,111309.300784462,54215,54203.6012353898
112549,111709.838716979,54439,54415.3557902439
112964,112103.550588993,54666,54626.0440928324
113371,112490.25261725,54891,54835.6747167219
113759,112869.753589323,55114,55044.2551705694
114130,113241.859156273,55337,55251.7882464901
114489,113606.372548725,55560,55458.2855134814
114844,113963.104303989,55782,55663.7470452174
115197,114311.875958074,56005,55868.1442449109
115532,114652.509186759,56223,56071.448109969
115850,114984.825665822,56439,56273.6296377989
116152,115308.647071039,56652,56474.6598258076
116445,115623.795078188,56863,56674.5096714023
116731,115930.091363047,57072,56873.1501719902
117006,116227.357601395,57279,57070.5523249784
117277,116515.415469007,57484,57266.687127774
117531,116794.086641663,57684,57461.5255777841
117768,117063.192794981,57880,57655.0386722086
117991,117322.552998985,58074,57847.1934656239
118199,117571.984998922,58261,58037.9531241981
118396,117811.308371391,58446,58227.2826667683
118584,118040.827813327,58628,58415.063265927
118761,118261.910871438,58807,58601.0076320008
118927,118475.799881184,58983,58784.8599531171
119081,118683.381244125,59156,58966.4243606348
119226,118884.535953895,59328,59145.6763548546
119362,119079.298430599,59497,59322.5674204065
119493,119267.727087251,59663,59497.0471395826
119622,119449.928788632,59827,59669.0652315617
119744,119626.008824005,59988,59838.5706439095
119863,119796.071356345,60146,60005.5122829778
119976,119960.220548624,60300,60169.8390551185
120085,120118.560563816,60453,60331.4998666835
120193,120271.195564894,60603,60490.4436240247
120298,120418.229714831,60750,60646.619233494
120401,120559.7671766,60893,60799.9756014434
120499,120695.912113175,61031,60950.4616342246
120595,120826.768687528,61165,61098.0262381896
120688,120952.441062634,61296,61242.6183196904
120777,121073.033401465,61423,61384.1867850787
120864,121188.649866994,61546,61522.6805407065
120948,121299.394622194,61665,61658.0484929256
121030,121405.371370233,61781,61790.2390906624
121112,121506.666312576,61893,61919.1889901676
121191,121603.36371121,62001,62044.8480538924
121269,121695.553161668,62105,62167.1738897811
121348,121783.324259484,62205,62286.1241057779
121426,121866.76660019,62302,62401.6563098268
121504,121945.96977932,62395,62513.7281098722
121582,122021.023392408,62487,62622.2971138581
121657,122092.017034986,62576,62727.3209297287
121728,122159.040302587,62662,62828.7571654283
