73,72.7013044051283,1,1
80,69.2202180817647,0,229.234611366577
85,67.5670258725986,0,433.310166038056
91,67.785653800368,0,615.134294462041
96,69.8385343812279,1,776.522132622314
100,73.5967489107767,0,919.189973569476
106,78.2031557511131,1,1044.76594498807
113,83.0183322858528,0,1154.7675253347
121,88.1791041004471,1,1250.64720915328
126,93.8446135972804,1,1333.75555250021
130,100.180856735556,0,1405.3640698318
138,107.32345601494,84,1466.66728887366
148,115.31010966662,91,1518.7627969238
160,124.165983487758,109,1562.69541665834
168,133.952671815607,131,1599.41086845426
174,144.782887680675,149,1629.8014399691
182,156.78126665466,163,1654.68632680272
191,170.049001515333,163,1674.80364191687
203,184.692100025254,176,1690.84710182306
216,200.832130194438,167,1703.4274136342
226,218.602184765637,184,1713.11170115318
231,238.161871402701,182,1720.40017913986
237,259.684122687482,188,1725.74137170133
241,283.353208686712,194,1729.52914278019
247,309.360233799193,194,1732.10792888128
252,337.896387581273,202,1733.77635319423
255,369.153502494612,201,1734.77826851113
260,403.28883335982,206,1735.32749585612
267,440.419329422524,185,1735.58393354911
278,480.546640891406,190,1735.67939946486
290,523.491724927885,198,1735.70427936337
306,568.773572013818,208,1735.71657503531
327,615.150781242689,218,1735.35659584802
360,660.579356594249,238,1733.14660893423
406,702.304756703082,247,1729.12749773872
461,736.878214004775,250,1723.49163629116
515,761.041256533867,254,1716.39933958467
574,773.636214817542,257,1707.99859914208
627,777.825757701501,263,1698.44005908312
686,781.329142645941,262,1687.86534061143
741,793.183870375705,261,1676.40670485842
796,819.458642449383,267,1664.18564031275
854,861.632339333287,275,1651.30889336198
908,917.961974800378,294,1637.87411298077
970,985.59451987211,309,1623.97086154892
1047,1061.90150176246,319,1609.68148818984
1145,1144.92791741822,346,1595.08257706821
1249,1233.34592607947,354,1580.24462825636
1322,1326.26672910035,374,1565.23267271748
1380,1423.03624896129,403,1550.10597152256
1431,1523.12844178337,425,1534.92090174132
1520,1626.04066822591,431,1519.73061927667
1653,1731.25590819652,463,1504.58590664041
1817,1838.22896567123,504,1489.53597902632
1995,1946.38140566428,526,1474.62934506838
