"","Activos","Recuperados"
"14-Oct","10112","461162"
"15-Oct","10049","462742"
"16-Oct","9945","464270"
"17-Oct","9857","465603"
"18-Oct","9947","466636"
"19-Oct","10379","467900"
"20-Oct","10096","469664"
"21-Oct","9881","471274"
"22-Oct","9659","472791"
"23-Oct","9583","474215"
"24-Oct","9456","475460"
"25-Oct","9364","476583"
"26-Oct","9259","478279"
"27-Oct","9285","479760"
"28-Oct","9391","481155"
"29-Oct","9312","482450"
"30-Oct","9301","483798"
"31-Oct","9236","484916"
"01-Nov","9284","485947"
"02-Nov","9420","487538"
"03-Nov","9383","489045"
"04-Nov","9194","490546"
"05-Nov","9320","491762"
"06-Nov","9336","493099"
"07-Nov","9453","494152"
"08-Nov","9425","495231"
"09-Nov","9330","496958"
"10-Nov","9388","498428"
"11-Nov","9440","499740"
"12-Nov","9417","501082"
"13-Nov","9394","502435"
"14-Nov","9374","503605"
"15-Nov","9350","504656"
"16-Nov","9272","506288"
"17-Nov","9137","507816"
"18-Nov","9172","509180"
"19-Nov","9230","510499"
"20-Nov","9384","511829"
"21-Nov","9371","512979"
"22-Nov","9414","514006"
"23-Nov","9538","515560"
"24-Nov","9644","516953"
"25-Nov","9690","518352"
"26-Nov","9712","519729"
"27-Nov","9636","521213"
"28-Nov","9689","522350"
"29-Nov","9654","523420"
"30-Nov","9763","525098"
"01-Dic","10028","526597"
"02-Dic","10266","528042"
"03-Dic","10544","529441"
"04-Dic","10801","530849"
"05-Dic","11031","532039"
"06-Dic","11223","533074"
"07-Dic","11479","534861"
"08-Dic","11303","536625"
"09-Dic","11510","538308"
"10-Dic","11714","539985"
"11-Dic","11960","541650"
"12-Dic","12204","543070"
"13-Dic","12509","544297"
"14-Dic","12799","546340"
"15-Dic","13431","547928"
"16-Dic","13578","549818"
"17-Dic","13675","551699"
"18-Dic","13816","553610"
"19-Dic","13956","555274"
"20-Dic","14203","556806"
"21-Dic","14537","559139"
"22-Dic","14716","561359"
"23-Dic","15102","563396"
"24-Dic","15268","565374"
"25-Dic","15128","567426"
"26-Dic","15858","569230"
"27-Dic","16551","571009"
"28-Dic","17606","573676"
"29-Dic","18294","576075"
"30-Dic","18982","578498"
"31-Dic","19512","580642"
"01-Ene","20332","582554"
"02-Ene","20886","585088"
"03-Ene","21434","587560"
"04-Ene","22521","591282"
"05-Ene","23589","594369"
"06-Ene","24690","597480"
"07-Ene","26124","600154"
"08-Ene","27379","602886"
"09-Ene","27703","605974"
"10-Ene","27542","608994"
"11-Ene","27293","613803"
"12-Ene","27292","617958"
"13-Ene","27181","622170"
"14-Ene","27012","626278"
"15-Ene","27310","630265"
"16-Ene","27412","633677"
"17-Ene","27661","636536"
"18-Ene","27987","641096"
"19-Ene","28172","645250"
"20-Ene","28306","649351"
"21-Ene","28454","653290"
"22-Ene","28326","657575"
"23-Ene","28087","661089"
"24-Ene","27795","664197"
"25-Ene","27480","669083"
"26-Ene","27004","673422"
"27-Ene","26418","677657"
"28-Ene","26053","681744"
"29-Ene","25399","685901"
"30-Ene","24836","689176"
"31-Ene","24356","691992"
"01-Feb","24181","696563"
"02-Feb","23928","700426"
"03-Feb","23660","704075"
"04-Feb","23326","707797"
"05-Feb","23341","711300"
"06-Feb","23611","714012"
"07-Feb","23754","716348"
"08-Feb","23412","720744"
"09-Feb","23487","724354"
"10-Feb","23794","727735"
"11-Feb","23761","731123"
"12-Feb","23578","734641"
"13-Feb","23417","737623"
"14-Feb","23491","740102"
"15-Feb","23431","744156"
"16-Feb","23284","747841"
"17-Feb","23213","751529"
"18-Feb","23269","754884"
"19-Feb","23579","758219"
"20-Feb","23880","761040"
"21-Feb","24045","763593"
"22-Feb","24685","767587"
"23-Feb","25082","771125"
"24-Feb","25431","774742"
"25-Feb","26009","778153"
"26-Feb","26485","781798"
"27-Feb","26996","784920"
"28-Feb","27628","787638"
"01-Mar","28631","792272"
"02-Mar","29531","796207"
"03-Mar","30380","800173"
"04-Mar","31210","804162"
"05-Mar","32240","808283"
"06-Mar","33111","811916"
"07-Mar","33705","815266"
"08-Mar","34189","820903"
"09-Mar","34984","825738"
"10-Mar","35882","830553"
"11-Mar","36518","835372"
"12-Mar","37317","840523"
"13-Mar","37927","845027"
"14-Mar","38539","848971"
"15-Mar","39832","855092"
"16-Mar","40693","860722"
"17-Mar","41520","866435"
"18-Mar","42288","871890"
"19-Mar","43094","877840"
"20-Mar","43748","882954"
"21-Mar","44377","887510"
"22-Mar","45057","894924"
"23-Mar","45790","901415"
"24-Mar","46205","907955"
"25-Mar","46841","914178"
"26-Mar","47569","920934"
"27-Mar","47631","926702"
"28-Mar","47469","931887"
"29-Mar","47848","939981"
"30-Mar","47782","947205"
"31-Mar","47656","954160"
"01-Abr","48381","961019"
"02-Abr","46770","968503"
"03-Abr","46831","974333"
"04-Abr","47248","979356"
"05-Abr","47275","987829"
"06-Abr","47496","994987"
"07-Abr","47576","1001816"
"08-Abr","46735","1009400"
"09-Abr","47754","1015273"
"10-Abr","47772","1021164"
"11-Abr","47281","1026604"
"12-Abr","46562","1035104"
"13-Abr","45974","1042483"
"14-Abr","45653","1049392"
"15-Abr","45458","1056135"
"16-Abr","45124","1063027"
"17-Abr","44663","1068936"
"18-Abr","44342","1073885"
"19-Abr","43804","1081666"
"20-Abr","43547","1088457"
"21-Abr","42958","1095045"
"22-Abr","42181","1101593"
"23-Abr","41660","1108151"
"24-Abr","41318","1113599"
"25-Abr","40920","1118227"
"26-Abr","40277","1125470"
"27-Abr","39404","1132004"
"28-Abr","38803","1138003"
"29-Abr","37957","1143774"
"30-Abr","37263","1149811"
"01-May","36534","1154917"
"02-May","36282","1159147"
"03-May","36123","1165747"
"04-May","35952","1171408"
"05-May","36001","1176806"
"06-May","36401","1181731"
"07-May","36680","1187074"
"08-May","36961","1191451"
"09-May","37203","1195429"
"10-May","37841","1201870"
"11-May","38438","1207360"
"12-May","39010","1212807"
"13-May","39372","1218132"
"14-May","40152","1223754"
"15-May","40857","1228412"
"16-May","41624","1232632"
"17-May","42526","1239711"
"18-May","43388","1245798"
"19-May","43880","1251817"
"20-May","45106","1257504"
"21-May","44310","1263906"
"22-May","44763","1269269"
"23-May","45414","1274256"
"24-May","45814","1282237"
"25-May","46456","1289186"
"26-May","47208","1295697"
"27-May","47136","1302610"
"28-May","48632","1308216"
"29-May","48897","1314032"
"30-May","48592","1319670"
"31-May","48930","1328051"
"01-Jun","49453","1335642"
"02-Jun","49653","1342905"
"03-Jun","49831","1349746"
"04-Jun","49910","1356848"
"05-Jun","49811","1362929"
"06-Jun","49583","1368262"
"07-Jun","48622","1376981"
"08-Jun","47524","1385095"
"09-Jun","46564","1392558"
"10-Jun","45562","1399577"
"11-Jun","44510","1406758"
"12-Jun","43628","1412740"
"13-Jun","42607","1417845"
"14-Jun","41310","1425603"
"15-Jun","39755","1432619"
"16-Jun","38291","1439122"
"17-Jun","36998","1445139"
"18-Jun","35554","1451268"
"19-Jun","34095","1456368"
"20-Jun","33302","1460452"
"21-Jun","30441","1466913"
"22-Jun","29470","1472374"
"23-Jun","28376","1477413"
"24-Jun","27252","1482137"
"25-Jun","26001","1486822"
"26-Jun","25174","1490463"
"27-Jun","24141","1493754"
"28-Jun","23307","1497354"
"29-Jun","21892","1501844"
"30-Jun","20844","1505789"
"01-Jul","20062","1509389"
"02-Jul","19321","1512823"
"03-Jul","18552","1515637"
"04-Jul","18155","1517895"
"05-Jul","18062","1520661"
"06-Jul","17228","1523736"
"07-Jul","16365","1526633"
"08-Jul","15517","1529451"
"09-Jul","14652","1532144"
"10-Jul","14125","1534189"
"11-Jul","13435","1536050"
"12-Jul","12641","1538723"
"13-Jul","11941","1540964"
"14-Jul","11422","1542998"
"15-Jul","10835","1544968"
"16-Jul","10100","1546796"
"17-Jul","9725","1548314"
"18-Jul","9601","1549485"
"19-Jul","9286","1551364"
"20-Jul","9103","1552905"
"21-Jul","8771","1554420"
"22-Jul","8527","1555803"
"23-Jul","8579","1556896"
"24-Jul","8351","1558039"
"25-Jul","8126","1559086"
"26-Jul","7777","1560650"
"27-Jul","7477","1562008"
"28-Jul","7279","1563191"
"29-Jul","7050","1564330"
"30-Jul","6755","1565475"
"31-Jul","6611","1566390"
"01-Ago","6574","1567212"
"02-Ago","6377","1568427"
"03-Ago","6258","1569485"
"04-Ago","6108","1570470"
"05-Ago","5984","1571380"
"06-Ago","5961","1572230"
"07-Ago","5854","1573001"
"08-Ago","5681","1573786"
"09-Ago","5619","1574804"
"10-Ago","5468","1575743"
"11-Ago","5370","1576578"
"12-Ago","5266","1577364"
"13-Ago","5122","1578191"
"14-Ago","4997","1578855"
"15-Ago","4916","1579467"
"16-Ago","4767","1580423"
"17-Ago","4642","1581211"
"18-Ago","4518","1581948"
"19-Ago","4398","1582630"
"20-Ago","4294","1583313"
"21-Ago","4220","1583852"
"22-Ago","4108","1584383"
"23-Ago","3976","1585190"
"24-Ago","3855","1585853"
"25-Ago","3786","1586466"
"26-Ago","3691","1587028"
"27-Ago","3560","1587607"
"28-Ago","3479","1588072"
"29-Ago","3395","1588491"
"30-Ago","3181","1589166"
"31-Ago","3051","1589708"
"01-Sep","2944","1590252"
"02-Sep","2863","1590719"
"03-Sep","2858","1591167"
"04-Sep","2846","1591551"
"05-Sep","2843","1591886"
"06-Sep","2925","1592347"
"07-Sep","2983","1592759"
"08-Sep","2969","1593196"
"09-Sep","2980","1593582"
"10-Sep","2997","1594025"
"11-Sep","3052","1594397"
"12-Sep","3116","1594729"
"13-Sep","3175","1595272"
"14-Sep","3197","1595742"
"15-Sep","3358","1596165"
"16-Sep","3469","1596562"
"17-Sep","3499","1597022"
"18-Sep","3557","1597449"
"19-Sep","3710","1597845"
"20-Sep","3985","1598447"
"21-Sep","4253","1598939"
"22-Sep","4355","1599523"
"23-Sep","4541","1600031"
"24-Sep","4691","1600521"
"25-Sep","4696","1601006"
"26-Sep","4708","1601555"
"27-Sep","4715","1602432"
"28-Sep","4671","1603192"
"29-Sep","4709","1603878"
"30-Sep","4727","1604572"
"01-Oct","4887","1605212"
"02-Oct","5105","1605702"
"03-Oct","5222","1606263"
"04-Oct","5400","1607147"
"05-Oct","5665","1607863"
"06-Oct","5917","1608587"
"07-Oct","6176","1609299"
"08-Oct","6422","1610099"
"09-Oct","6700","1610807"
"10-Oct","7025","1611485"
"11-Oct","7203","1612547"
"12-Oct","7947","1613528"
"13-Oct","8545","1614504"
"14-Oct","8960","1615475"
"15-Oct","9342","1616521"
"16-Oct","9659","1617507"
"17-Oct","9867","1618510"
"18-Oct","10609","1619750"
"19-Oct","10804","1621475"
"20-Oct","11151","1623049"
"21-Oct","11468","1624435"
"22-Oct","11830","1625863"
"23-Oct","12124","1627166"
"24-Oct","12416","1628377"
"25-Oct","12731","1630359"
"26-Oct","12920","1632279"
"27-Oct","12947","1634200"
"28-Oct","13199","1635903"
"29-Oct","13217","1637693"
"30-Oct","13156","1639290"
"31-Oct","13257","1640793"
"01-Nov","13135","1643090"
"02-Nov","13665","1645199"
"03-Nov","14281","1647147"
"04-Nov","14752","1649102"
"05-Nov","15298","1650910"
"06-Nov","15735","1652446"
"07-Nov","16122","1654050"
"08-Nov","16797","1656225"
"09-Nov","16905","1658864"
"10-Nov","16771","1661428"
"11-Nov","16582","1663854"
"12-Nov","16706","1666208"
"13-Nov","16601","1668181"
"14-Nov","16441","1670172"
"15-Nov","16439","1673022"
"16-Nov","16130","1675769"
"17-Nov","16097","1678199"
"18-Nov","16032","1680436"
"19-Nov","15825","1682914"
"20-Nov","15890","1684782"
"21-Nov","15888","1686613"
"22-Nov","15808","1689461"
"23-Nov","15751","1691899"
"24-Nov","15482","1694296"
"25-Nov","15293","1696468"
"26-Nov","14912","1698739"
"27-Nov","14591","1700672"
"28-Nov","14190","1702501"
"29-Nov","13552","1705269"
"30-Nov","13010","1707650"
"01-Dic","12736","1709778"
"02-Dic","12245","1711761"
"03-Dic","11934","1713651"
"04-Dic","11620","1715263"
"05-Dic","11323","1716691"
"06-Dic","10986","1718821"
"07-Dic","10677","1720660"
"08-Dic","9957","1722514"
"09-Dic","9828","1724006"
"10-Dic","9615","1725585"
"11-Dic","9423","1726883"
"12-Dic","9283","1728014"
"13-Dic","8991","1729807"
"14-Dic","8735","1731337"
"15-Dic","8779","1732471"
"16-Dic","8505","1733834"
"17-Dic","8275","1735200"
"18-Dic","8133","1736306"
"19-Dic","8150","1737297"
"20-Dic","8018","1738798"
"21-Dic","8010","1740072"
"22-Dic","8024","1741250"
"23-Dic","8118","1742339"
"24-Dic","8156","1743475"
"25-Dic","8238","1744439"
"26-Dic","8415","1745447"
"27-Dic","9010","1746816"
"28-Dic","9492","1748082"
"29-Dic","9858","1749274"
"30-Dic","10318","1750457"
"31-Dic","10843","1751631"
"01-Ene","11689","1752677"
"02-Ene","13020","1753862"
"03-Ene","15279","1755826"
"04-Ene","17718","1757574"
"05-Ene","20532","1759132"
"06-Ene","23245","1760775"
"07-Ene","26774","1762474"
"08-Ene","29673","1764366"
"09-Ene","32350","1766882"
"10-Ene","37631","1771105"
"11-Ene","42877","1775292"
"12-Ene","48645","1779664"
"13-Ene","54475","1784020"
"14-Ene","60113","1789248"
"15-Ene","65593","1794039"
"16-Ene","71139","1799232"
"17-Ene","79262","1808736"
"18-Ene","87416","1818169"
"19-Ene","94820","1828309"
"20-Ene","104153","1838495"
"21-Ene","113967","1849361"
"22-Ene","123157","1859632"
"23-Ene","131494","1870371"
"24-Ene","146088","1887998"
"25-Ene","160530","1905585"
"26-Ene","174952","1923129"
"27-Ene","187417","1942648"
"28-Ene","199875","1963328"
"29-Ene","207835","1982789"
"30-Ene","213673","2001865"
"31-Ene","224060","2034086"
"01-Feb","233538","2066115"
"02-Feb","239941","2098081"
"03-Feb","243896","2130065"
"04-Feb","245931","2163203"
"05-Feb","247783","2190624"
"06-Feb","249122","2215538"
"07-Feb","249162","2258146"
"08-Feb","247426","2299653"
"09-Feb","245241","2338022"
"10-Feb","242839","2373961"
"11-Feb","239094","2409134"
"12-Feb","235885","2438407"
"13-Feb","232833","2464660"
"14-Feb","227860","2507308"
"15-Feb","221874","2547079"
"16-Feb","216753","2583263"
"17-Feb","211159","2616800"
"18-Feb","206547","2648228"
"19-Feb","201912","2674292"
"20-Feb","198141","2697493"
"21-Feb","191277","2735168"
"22-Feb","184722","2768953"
"23-Feb","177735","2800016"
"24-Feb","171861","2827959"
"25-Feb","166749","2854775"
"26-Feb","162541","2876204"
"27-Feb","158580","2895634"
"28-Feb","152783","2926445"
"01-Mar","146930","2953675"
"02-Mar","142130","2977751"
"03-Mar","137815","2999820"
"04-Mar","133277","3021524"
"05-Mar","130460","3038745"
"06-Mar","127588","3054214"
"07-Mar","122344","3079228"
"08-Mar","117971","3100605"
"09-Mar","114877","3119881"
"10-Mar","111839","3137635"
"11-Mar","108957","3154801"
"12-Mar","106433","3169205"
"13-Mar","104765","3181802"
"14-Mar","101520","3201572"
"15-Mar","97818","3218576"
"16-Mar","93496","3234758"
"17-Mar","88706","3249474"
"18-Mar","83664","3263758"
"19-Mar","78815","3275638"
"20-Mar","74107","3286567"
"21-Mar","67421","3303092"
"22-Mar","61967","3316394"
"23-Mar","57273","3328254"
"24-Mar","53508","3338180"
"25-Mar","50268","3347422"
"26-Mar","47828","3354453"
"27-Mar","45831","3360674"
"28-Mar","42490","3370513"
"29-Mar","39898","3378361"
"30-Mar","37532","3385527"
"31-Mar","35435","3391688"
"01-Abr","33240","3397690"
"02-Abr","31665","3402281"
"03-Abr","30288","3406505"
"04-Abr","28273","3413003"
"05-Abr","26752","3418259"
"06-Abr","25060","3423059"
"07-Abr","23851","3427123"
"08-Abr","22849","3430930"
"09-Abr","22090","3433946"
"10-Abr","21352","3436793"
"11-Abr","20059","3441276"
"12-Abr","18907","3445011"
"13-Abr","18037","3448119"
"14-Abr","17225","3450974"
"15-Abr","16099","3453779"
"16-Abr","15764","3456036"
"17-Abr","15749","3458145"
"18-Abr","15797","3461335"
"19-Abr","15704","3463918"
"20-Abr","15623","3466156"
"21-Abr","15568","3468199"
"22-Abr","15799","3469878"
"23-Abr","15637","3471800"
"24-Abr","15184","3473894"
"25-Abr","14504","3477132"
"26-Abr","14357","3479622"
"27-Abr","14364","3481779"
"28-Abr","14393","3483767"
"29-Abr","14566","3485677"
"30-Abr","14921","3487437"
"01-May","15480","3489078"
"02-May","16303","3491636"
"03-May","17183","3493979"
"04-May","17988","3496143"
"05-May","18807","3498160"
"06-May","19617","3500243"
"07-May","20476","3502358"
"08-May","21344","3504558"
"09-May","22663","3507939"
"10-May","24145","3511162"
"11-May","25769","3514131"
"12-May","27196","3516967"
"13-May","28848","3519860"
"14-May","30405","3522834"
"15-May","31668","3525902"
"16-May","33998","3530602"
"17-May","35651","3535307"
"18-May","37115","3539900"
"19-May","38590","3544163"
"20-May","40244","3548708"
"21-May","41057","3553239"
"22-May","42273","3557570"
"23-May","44051","3564600"
"24-May","46022","3570958"
"25-May","47726","3577015"
"26-May","49172","3582753"
"27-May","50049","3588952"
"28-May","51030","3594296"
"29-May","51376","3599843"
"30-May","52480","3608651"
"31-May","52988","3616980"
"01-Jun","54165","3624741"
"02-Jun","55173","3631925"
"03-Jun","57036","3639001"
"04-Jun","59007","3645326"
"05-Jun","61004","3651219"
"06-Jun","63967","3661131"
"07-Jun","66551","3669968"
"08-Jun","68191","3678906"
"09-Jun","69949","3687098"
"10-Jun","71065","3696037"
"11-Jun","71392","3704333"
"12-Jun","71671","3712223"
"13-Jun","72189","3725098"
"14-Jun","72446","3736519"
"15-Jun","72618","3747097"
"16-Jun","72358","3757047"
"17-Jun","71512","3767102"
"18-Jun","70428","3775725"
"19-Jun","69133","3783894"
"20-Jun","67507","3797287"
"21-Jun","64408","3808965"
"22-Jun","65458","3819715"
"23-Jun","65610","3829405"
"24-Jun","65607","3838614"
"25-Jun","65933","3846153"
"26-Jun","65963","3853027"
"27-Jun","62832","3864794"
"28-Jun","65982","3873373"
"29-Jun","64394","3885173"
"30-Jun","63331","3895015"
"01-Jul","62659","3904221"
"02-Jul","62207","3912086"
"03-Jul","62230","3918990"
"04-Jul","64513","3927626"
"05-Jul","62329","3939355"
"06-Jul","60746","3949567"
"07-Jul","60040","3958346"
"08-Jul","59343","3966880"
"09-Jul","58530","3974293"
"10-Jul","57884","3981220"
"11-Jul","56538","3992139"
"12-Jul","55106","4001684"
"13-Jul","53901","4010313"
"14-Jul","52028","4018386"
"15-Jul","50334","4026223"
"16-Jul","49075","4032823"
"17-Jul","48071","4039104"
"18-Jul","47505","4048677"
"19-Jul","47257","4056790"
"20-Jul","47398","4064214"
"21-Jul","48337","4070414"
"22-Jul","49596","4076557"
"23-Jul","51118","4081898"
"24-Jul","52387","4087175"
"25-Jul","53779","4096182"
"26-Jul","54786","4104047"
"27-Jul","55724","4111612"
"28-Jul","56402","4118751"
"29-Jul","57104","4126153"
"30-Jul","57848","4133016"
"31-Jul","58856","4139562"
"01-Ago","61022","4149961"
"02-Ago","62732","4158833"
"03-Ago","64320","4167336"
"04-Ago","65901","4175153"
"05-Ago","67371","4183257"
"06-Ago","68986","4190864"
"07-Ago","70018","4198418"
"08-Ago","71397","4210983"
"09-Ago","72714","4221565"
"10-Ago","73598","4231656"
"11-Ago","73799","4241054"
"12-Ago","73289","4250628"
"13-Ago","71693","4259850"
"14-Ago","70010","4268436"
"15-Ago","64566","4282380"
"16-Ago","64150","4294279"
"17-Ago","62579","4305254"
"18-Ago","61326","4314853"
"19-Ago","60185","4323917"
"20-Ago","59417","4331543"
"21-Ago","58520","4338446"
"22-Ago","59492","4346946"
"23-Ago","55885","4358429"
"24-Ago","53527","4367833"
"25-Ago","51305","4376179"
"26-Ago","49434","4384102"
"27-Ago","47779","4390960"
"28-Ago","46479","4396966"
"29-Ago","43633","4406438"
"30-Ago","41381","4414314"
"31-Ago","39397","4421360"
"01-Sep","37835","4427484"
"02-Sep","36123","4433536"
"03-Sep","34871","4438739"
"04-Sep","33877","4443445"
"05-Sep","33170","4450071"
"06-Sep","32376","4455695"
"07-Sep","31437","4460757"
"08-Sep","30524","4465319"
"09-Sep","29800","4469659"
"10-Sep","28943","4473610"
"11-Sep","27957","4477322"
"12-Sep","25909","4483241"
"13-Sep","24204","4488071"
"14-Sep","22653","4492194"
"15-Sep","21043","4495843"
"16-Sep","19071","4499459"
"17-Sep","17738","4502553"
"18-Sep","16489","4505279"
"19-Sep","13868","4509150"
"20-Sep","12388","4512275"
