"Fecha","Número de confirmados","Media móvil semanal"
"23-Sep","1372","1514.4"
"24-Sep","1731","1496.0"
"25-Sep","2222","1574.4"
"26-Sep","2109","1611.7"
"27-Sep","1923","1657.9"
"28-Sep","1770","1740.1"
"29-Sep","1622","1821.3"
"30-Sep","1684","1865.9"
"01-Oct","1760","1870.0"
"02-Oct","1839","1815.3"
"03-Oct","1880","1782.6"
"04-Oct","1708","1751.9"
"05-Oct","1567","1722.9"
"06-Oct","1554","1713.1"
"07-Oct","1131","1634.1"
"08-Oct","1575","1607.7"
"09-Oct","1750","1595.0"
"10-Oct","1824","1587.0"
"11-Oct","1776","1596.7"
"12-Oct","1517","1589.6"
"13-Oct","1392","1566.4"
"14-Oct","1089","1560.4"
"15-Oct","1122","1495.7"
"16-Oct","1689","1487.0"
"17-Oct","1811","1485.1"
"18-Oct","1759","1482.7"
"19-Oct","1545","1486.7"
"20-Oct","1099","1444.9"
"21-Oct","1152","1453.9"
"22-Oct","1495","1507.1"
"23-Oct","1773","1519.1"
"24-Oct","1631","1493.4"
"25-Oct","1540","1462.1"
"26-Oct","1505","1456.4"
"27-Oct","922","1431.1"
"28-Oct","1004","1410.0"
"29-Oct","1519","1413.4"
"30-Oct","1529","1378.6"
"31-Oct","1686","1386.4"
"01-Nov","1607","1396.0"
"02-Nov","1314","1368.7"
"03-Nov","1009","1381.1"
"04-Nov","846","1358.6"
"05-Nov","1540","1361.6"
"06-Nov","1801","1400.4"
"07-Nov","1568","1383.6"
"08-Nov","1576","1379.1"
"09-Nov","1318","1379.7"
"10-Nov","1083","1390.3"
"11-Nov","904","1398.6"
"12-Nov","1631","1411.6"
"13-Nov","1592","1381.7"
"14-Nov","1644","1392.6"
"15-Nov","1597","1395.6"
"16-Nov","1331","1397.4"
"17-Nov","1003","1386.0"
"18-Nov","945","1391.9"
"19-Nov","1455","1366.7"
"20-Nov","1573","1364.0"
"21-Nov","1550","1350.6"
"22-Nov","1497","1336.3"
"23-Nov","1440","1351.9"
"24-Nov","1005","1352.1"
"25-Nov","1004","1360.6"
"26-Nov","1564","1376.1"
"27-Nov","1570","1375.7"
"28-Nov","1718","1399.7"
"29-Nov","1489","1398.6"
"30-Nov","1313","1380.4"
"01-Dic","1119","1396.7"
"02-Dic","1035","1401.1"
"03-Dic","1507","1393.0"
"04-Dic","1729","1415.7"
"05-Dic","1533","1389.3"
"06-Dic","1710","1420.9"
"07-Dic","1760","1484.7"
"08-Dic","1389","1523.3"
"09-Dic","1247","1553.6"
"10-Dic","1662","1575.7"
"11-Dic","1531","1547.4"
"12-Dic","1807","1586.6"
"13-Dic","2139","1647.9"
"14-Dic","1911","1669.4"
"15-Dic","1498","1685.0"
"16-Dic","1402","1707.1"
"17-Dic","1998","1755.1"
"18-Dic","2404","1879.9"
"19-Dic","2217","1938.4"
"20-Dic","2191","1945.9"
"21-Dic","1943","1950.4"
"22-Dic","1699","1979.1"
"23-Dic","1726","2025.4"
"24-Dic","2395","2082.1"
"25-Dic","2520","2098.7"
"26-Dic","2564","2148.3"
"27-Dic","1711","2079.7"
"28-Dic","1923","2076.9"
"29-Dic","1958","2113.9"
"30-Dic","1961","2147.4"
"31-Dic","3022","2237.0"
"01-Ene","3588","2389.6"
"02-Ene","3338","2500.1"
"03-Ene","2289","2582.7"
"04-Ene","2450","2658.0"
"05-Ene","2457","2729.3"
"06-Ene","2378","2788.9"
"07-Ene","3685","2883.6"
"08-Ene","4201","2971.1"
"09-Ene","4361","3117.3"
"10-Ene","4181","3387.6"
"11-Ene","3970","3604.7"
"12-Ene","3238","3716.3"
"13-Ene","3394","3861.4"
"14-Ene","4177","3931.7"
"15-Ene","4471","3970.3"
"16-Ene","4313","3963.4"
"17-Ene","4340","3986.1"
"18-Ene","3918","3978.7"
"19-Ene","3400","4001.9"
"20-Ene","3583","4028.9"
"21-Ene","4363","4055.4"
"22-Ene","4956","4124.7"
"23-Ene","4550","4158.6"
"24-Ene","4498","4181.1"
"25-Ene","4068","4202.6"
"26-Ene","3322","4191.4"
"27-Ene","3371","4161.1"
"28-Ene","4260","4146.4"
"29-Ene","4606","4096.4"
"30-Ene","4160","4040.7"
"31-Ene","4209","3999.4"
"01-Feb","3779","3958.1"
"02-Feb","3138","3931.9"
"03-Feb","2616","3824.0"
"04-Feb","3589","3728.1"
"05-Feb","3786","3611.0"
"06-Feb","4063","3597.1"
"07-Feb","3804","3539.3"
"08-Feb","3464","3494.3"
"09-Feb","2829","3450.1"
"10-Feb","2399","3419.1"
"11-Feb","3729","3439.1"
"12-Feb","4169","3493.9"
"13-Feb","3920","3473.4"
"14-Feb","3815","3475.0"
"15-Feb","3333","3456.3"
"16-Feb","2547","3416.0"
"17-Feb","2330","3406.1"
"18-Feb","3866","3425.7"
"19-Feb","3827","3376.9"
"20-Feb","3893","3373.0"
"21-Feb","3618","3344.9"
"22-Feb","3547","3375.4"
"23-Feb","2356","3348.1"
"24-Feb","2554","3380.1"
"25-Feb","4181","3425.1"
"26-Feb","4586","3533.6"
"27-Feb","4523","3623.6"
"28-Feb","4208","3707.9"
"01-Mar","4082","3784.3"
"02-Mar","2747","3840.1"
"03-Mar","3053","3911.4"
"04-Mar","4567","3966.6"
"05-Mar","5325","4072.1"
"06-Mar","5037","4145.6"
"07-Mar","5280","4298.7"
"08-Mar","4733","4391.7"
"09-Mar","3528","4503.3"
"10-Mar","3958","4632.6"
"11-Mar","5566","4775.3"
"12-Mar","5983","4869.3"
"13-Mar","5928","4996.6"
"14-Mar","5734","5061.4"
"15-Mar","5117","5116.3"
"16-Mar","4591","5268.1"
"17-Mar","4395","5330.6"
"18-Mar","6249","5428.1"
"19-Mar","6604","5516.9"
"20-Mar","7084","5682.0"
"21-Mar","6836","5839.4"
"22-Mar","6155","5987.7"
"23-Mar","4948","6038.7"
"24-Mar","4826","6100.3"
"25-Mar","7023","6210.9"
"26-Mar","7626","6356.9"
"27-Mar","7588","6428.9"
"28-Mar","7326","6498.9"
"29-Mar","7247","6654.9"
"30-Mar","5394","6718.6"
"31-Mar","6053","6893.9"
"01-Abr","7830","7009.1"
"02-Abr","8112","7078.6"
"03-Abr","8028","7141.4"
"04-Abr","7304","7138.3"
"05-Abr","5807","6932.6"
"06-Abr","5164","6899.7"
"07-Abr","5134","6768.4"
"08-Abr","8195","6820.6"
"09-Abr","9171","6971.9"
"10-Abr","8124","6985.6"
"11-Abr","7945","7077.1"
"12-Abr","6372","7157.9"
"13-Abr","5718","7237.0"
"14-Abr","5497","7288.9"
"15-Abr","7357","7169.1"
"16-Abr","7590","6943.3"
"17-Abr","7696","6882.1"
"18-Abr","7294","6789.1"
"19-Abr","6643","6827.9"
"20-Abr","5071","6735.4"
"21-Abr","4914","6652.1"
"22-Abr","6832","6577.1"
"23-Abr","7525","6567.9"
"24-Abr","6796","6439.3"
"25-Abr","6638","6345.6"
"26-Abr","6078","6264.9"
"27-Abr","4141","6132.0"
"28-Abr","4416","6060.9"
"29-Abr","6889","6069.0"
"30-Abr","7199","6022.4"
"01-May","6469","5975.7"
"02-May","6122","5902.0"
"03-May","4874","5730.0"
"04-May","3198","5595.3"
"05-May","3791","5506.0"
"06-May","6202","5407.9"
"07-May","6574","5318.6"
"08-May","6219","5282.9"
"09-May","5521","5197.0"
"10-May","5357","5266.0"
"11-May","3771","5347.9"
"12-May","3920","5366.3"
"13-May","6181","5363.3"
"14-May","6903","5410.3"
"15-May","6769","5488.9"
"16-May","6320","5603.0"
"17-May","5566","5632.9"
"18-May","3787","5635.1"
"19-May","4778","5757.7"
"20-May","7680","5971.9"
"21-May","7614","6073.4"
"22-May","7514","6179.9"
"23-May","6519","6208.3"
"24-May","5374","6180.9"
"25-May","4188","6238.1"
"26-May","5176","6295.0"
"27-May","8117","6357.4"
"28-May","8680","6509.7"
"29-May","8426","6640.0"
"30-May","7772","6819.0"
"31-May","6882","7034.4"
"01-Jun","5040","7156.1"
"02-Jun","5631","7221.1"
"03-Jun","8150","7225.9"
"04-Jun","8273","7167.7"
"05-Jun","8867","7230.7"
"06-Jun","7768","7230.1"
"07-Jun","6958","7241.0"
"08-Jun","5568","7316.4"
"09-Jun","5369","7279.0"
"10-Jun","7716","7217.0"
"11-Jun","7972","7174.0"
"12-Jun","7624","6996.4"
"13-Jun","7529","6962.3"
"14-Jun","6234","6858.9"
"15-Jun","4607","6721.6"
"16-Jun","4347","6575.6"
"17-Jun","6683","6428.0"
"18-Jun","6770","6256.3"
"19-Jun","6263","6061.9"
"20-Jun","5753","5808.1"
"21-Jun","5252","5667.9"
"22-Jun","3464","5504.6"
"23-Jun","2768","5279.0"
"24-Jun","3448","4816.9"
"25-Jun","5628","4653.7"
"26-Jun","5208","4503.0"
"27-Jun","4488","4322.3"
"28-Jun","4075","4154.1"
"29-Jun","2648","4037.6"
"30-Jun","2148","3949.0"
"01-Jul","2677","3838.9"
"02-Jul","4086","3618.6"
"03-Jul","3880","3428.9"
"04-Jul","3368","3268.9"
"05-Jul","2852","3094.1"
"06-Jul","1885","2985.1"
"07-Jul","1892","2948.6"
"08-Jul","3193","3022.3"
"09-Jul","2906","2853.7"
"10-Jul","2696","2684.6"
"11-Jul","2330","2536.3"
"12-Jul","2160","2437.4"
"13-Jul","1278","2350.7"
"14-Jul","1227","2255.7"
"15-Jul","2336","2133.3"
"16-Jul","2031","2008.3"
"17-Jul","1874","1890.9"
"18-Jul","1419","1760.7"
"19-Jul","1015","1597.1"
"20-Jul","902","1543.4"
"21-Jul","989","1509.4"
"22-Jul","1861","1441.6"
"23-Jul","1656","1388.0"
"24-Jul","1407","1321.3"
"25-Jul","1446","1325.1"
"26-Jul","1185","1349.4"
"27-Jul","753","1328.1"
"28-Jul","828","1305.1"
"29-Jul","1383","1236.9"
"30-Jul","1355","1193.9"
"31-Jul","1152","1157.4"
"01-Ago","1185","1120.1"
"02-Ago","921","1082.4"
"03-Ago","616","1062.9"
"04-Ago","674","1040.9"
"05-Ago","1223","1018.0"
"06-Ago","1147","988.3"
"07-Ago","940","958.0"
"08-Ago","868","912.7"
"09-Ago","871","905.6"
"10-Ago","514","891.0"
"11-Ago","584","878.1"
"12-Ago","1128","864.6"
"13-Ago","882","826.7"
"14-Ago","877","817.7"
"15-Ago","904","822.9"
"16-Ago","754","806.1"
"17-Ago","405","790.6"
"18-Ago","503","779.0"
"19-Ago","899","746.3"
"20-Ago","763","729.3"
"21-Ago","698","703.7"
"22-Ago","679","671.6"
"23-Ago","591","648.3"
"24-Ago","387","645.7"
"25-Ago","392","629.9"
"26-Ago","801","615.9"
"27-Ago","672","602.9"
"28-Ago","607","589.9"
"29-Ago","603","579.0"
"30-Ago","512","567.7"
"31-Ago","315","557.4"
"01-Sep","375","555.0"
"02-Sep","594","525.4"
"03-Sep","504","501.4"
"04-Sep","477","482.9"
"05-Sep","430","458.1"
"06-Sep","435","447.1"
"07-Sep","273","441.1"
"08-Sep","358","438.7"
"09-Sep","515","427.4"
"10-Sep","518","429.4"
"11-Sep","489","431.1"
"12-Sep","449","433.9"
"13-Sep","426","432.6"
"14-Sep","297","436.0"
"15-Sep","408","443.1"
"16-Sep","604","455.9"
"17-Sep","594","466.7"
"18-Sep","610","484.0"
"19-Sep","491","490.0"
"20-Sep","280","469.1"
"21-Sep","291","468.3"
"22-Sep","526","485.1"
"23-Sep","886","525.4"
"24-Sep","852","562.3"
"25-Sep","783","587.0"
"26-Sep","775","627.6"
"27-Sep","640","679.0"
"28-Sep","454","702.3"
"29-Sep","525","702.1"
"30-Sep","895","703.4"
"01-Oct","846","702.6"
"02-Oct","853","712.6"
"03-Oct","752","709.3"
"04-Oct","673","714.0"
"05-Oct","503","721.0"
"06-Oct","714","748.0"
"07-Oct","981","760.3"
"08-Oct","1037","787.6"
"09-Oct","1033","813.3"
"10-Oct","1105","863.7"
"11-Oct","996","909.9"
"12-Oct","634","928.6"
"13-Oct","766","936.0"
"14-Oct","1223","970.6"
"15-Oct","1703","1065.7"
"16-Oct","1774","1171.6"
"17-Oct","1562","1236.9"
"18-Oct","1357","1288.4"
"19-Oct","966","1335.9"
"20-Oct","1206","1398.7"
"21-Oct","1842","1487.1"
"22-Oct","2086","1541.9"
"23-Oct","2056","1582.1"
"24-Oct","1882","1627.9"
"25-Oct","1677","1673.6"
"26-Oct","1201","1707.1"
"27-Oct","1753","1785.3"
"28-Oct","2205","1837.1"
"29-Oct","2379","1879.0"
"30-Oct","2230","1903.9"
"31-Oct","2250","1956.4"
"01-Nov","1806","1974.9"
"02-Nov","1390","2001.9"
"03-Nov","1360","1945.7"
"04-Nov","1953","1909.7"
"05-Nov","2601","1941.4"
"06-Nov","2895","2036.4"
"07-Nov","2682","2098.1"
"08-Nov","2367","2178.3"
"09-Nov","1800","2236.9"
"10-Nov","2229","2361.0"
"11-Nov","2833","2486.7"
"12-Nov","2950","2536.6"
"13-Nov","2712","2510.4"
"14-Nov","2835","2532.3"
"15-Nov","2377","2533.7"
"16-Nov","1741","2525.3"
"17-Nov","2104","2507.4"
"18-Nov","2640","2479.9"
"19-Nov","2679","2441.1"
"20-Nov","2696","2438.9"
"21-Nov","2711","2421.1"
"22-Nov","2252","2403.3"
"23-Nov","1700","2397.4"
"24-Nov","1937","2373.6"
"25-Nov","2641","2373.7"
"26-Nov","2692","2375.6"
"27-Nov","2667","2371.4"
"28-Nov","2361","2321.4"
"29-Nov","1979","2282.4"
"30-Nov","1392","2238.4"
"01-Dic","1538","2181.4"
"02-Dic","2244","2124.7"
"03-Dic","2115","2042.3"
"04-Dic","2060","1955.6"
"05-Dic","1947","1896.4"
"06-Dic","1517","1830.4"
"07-Dic","1185","1800.9"
"08-Dic","1401","1781.3"
"09-Dic","1793","1716.9"
"10-Dic","1516","1631.3"
"11-Dic","1375","1533.4"
"12-Dic","1605","1484.6"
"13-Dic","1383","1465.4"
"14-Dic","970","1434.7"
"15-Dic","1080","1388.9"
"16-Dic","1520","1349.9"
"17-Dic","1465","1342.6"
"18-Dic","1431","1350.6"
"19-Dic","1275","1303.4"
"20-Dic","1157","1271.1"
"21-Dic","887","1259.3"
"22-Dic","981","1245.1"
"23-Dic","1504","1242.9"
"24-Dic","1426","1237.3"
"25-Dic","1511","1248.7"
"26-Dic","1232","1242.6"
"27-Dic","760","1185.9"
"28-Dic","770","1169.1"
"29-Dic","1295","1214.0"
"30-Dic","1813","1258.1"
"31-Dic","1831","1316.0"
"01-Ene","1930","1375.9"
"02-Ene","1921","1474.3"
"03-Ene","1005","1509.3"
"04-Ene","1058","1550.4"
"05-Ene","1858","1630.9"
"06-Ene","3134","1819.6"
"07-Ene","3799","2100.7"
"08-Ene","4380","2450.7"
"09-Ene","4064","2756.9"
"10-Ene","4069","3194.6"
"11-Ene","3922","3603.7"
"12-Ene","4847","4030.7"
"13-Ene","7291","4624.6"
"14-Ene","8270","5263.3"
"15-Ene","9284","5963.9"
"16-Ene","9454","6733.9"
"17-Ene","8904","7424.6"
"18-Ene","7533","7940.4"
"19-Ene","9509","8606.4"
"20-Ene","12500","9350.6"
"21-Ene","14757","10277.3"
"22-Ene","14449","11015.1"
"23-Ene","13674","11618.0"
"24-Ene","14780","12457.4"
"25-Ene","14291","13422.9"
"26-Ene","18446","14699.6"
"27-Ene","24037","16347.7"
"28-Ene","26727","18057.7"
"29-Ene","29175","20161.4"
"30-Ene","28480","22276.6"
"31-Ene","26244","23914.3"
"01-Feb","22192","25043.0"
"02-Feb","29844","26671.3"
"03-Feb","35197","28265.6"
"04-Feb","37468","29800.0"
"05-Feb","36297","30817.4"
"06-Feb","34328","31652.9"
"07-Feb","31063","32341.3"
"08-Feb","24970","32738.1"
"09-Feb","33362","33240.7"
"10-Feb","36635","33446.1"
"11-Feb","38446","33585.9"
"12-Feb","35841","33520.7"
"13-Feb","35038","33622.1"
"14-Feb","28076","33195.4"
"15-Feb","22845","32891.9"
"16-Feb","30971","32550.3"
"17-Feb","35789","32429.4"
"18-Feb","34117","31811.0"
"19-Feb","33769","31515.0"
"20-Feb","30398","30852.1"
"21-Feb","23254","30163.3"
"22-Feb","18380","29525.4"
"23-Feb","24700","28629.6"
"24-Feb","30675","27899.0"
"25-Feb","29135","27187.3"
"26-Feb","27739","26325.9"
"27-Feb","23821","25386.3"
"28-Feb","18148","24656.9"
"01-Mar","13928","24020.9"
"02-Mar","20400","23406.6"
"03-Mar","23395","22366.6"
"04-Mar","23132","21509.0"
"05-Mar","20503","20475.3"
"06-Mar","19353","19837.0"
"07-Mar","13820","19218.7"
"08-Mar","10815","18774.0"
"09-Mar","16341","18194.1"
"10-Mar","18995","17565.6"
"11-Mar","18326","16879.0"
"12-Mar","17371","16431.6"
"13-Mar","15136","15829.1"
"14-Mar","10650","15376.3"
"15-Mar","8716","15076.4"
"16-Mar","12566","14537.1"
"17-Mar","15735","14071.4"
"18-Mar","14525","13528.4"
"19-Mar","12357","12812.1"
"20-Mar","10472","12145.9"
"21-Mar","7555","11703.7"
"22-Mar","5045","11179.3"
"23-Mar","8025","10530.6"
"24-Mar","9414","9627.6"
"25-Mar","8247","8730.7"
"26-Mar","7448","8029.4"
"27-Mar","6480","7459.1"
"28-Mar","4463","7017.4"
"29-Mar","3017","6727.7"
"30-Mar","5603","6381.7"
"31-Mar","6074","5904.6"
"01-Abr","5564","5521.3"
"02-Abr","4823","5146.3"
"03-Abr","4148","4813.1"
"04-Abr","2711","4562.9"
"05-Abr","1932","4407.9"
"06-Abr","3689","4134.4"
"07-Abr","4432","3899.9"
"08-Abr","3820","3650.7"
"09-Abr","3368","3442.9"
"10-Abr","3057","3287.0"
"11-Abr","2209","3215.3"
"12-Abr","1478","3150.4"
"13-Abr","2742","3015.1"
"14-Abr","2937","2801.6"
"15-Abr","2771","2651.7"
"16-Abr","2516","2530.0"
"17-Abr","1424","2296.7"
"18-Abr","1172","2148.6"
"19-Abr","1102","2094.9"
"20-Abr","2515","2062.4"
"21-Abr","2897","2056.7"
"22-Abr","2669","2042.1"
"23-Abr","2539","2045.4"
"24-Abr","1909","2114.7"
"25-Abr","1300","2133.0"
"26-Abr","993","2117.4"
"27-Abr","1918","2032.1"
"28-Abr","2397","1960.7"
"29-Abr","2182","1891.1"
"30-Abr","2124","1831.9"
"01-May","2117","1861.6"
"02-May","1481","1887.4"
"03-May","1025","1892.0"
"04-May","2302","1946.9"
"05-May","2978","2029.9"
"06-May","2961","2141.1"
"07-May","2926","2255.7"
"08-May","2858","2361.6"
"09-May","1972","2431.7"
"10-May","1462","2494.1"
"11-May","3048","2600.7"
"12-May","4039","2752.3"
"13-May","4333","2948.3"
"14-May","4413","3160.7"
"15-May","4206","3353.3"
"16-May","3444","3563.6"
"17-May","2290","3681.9"
"18-May","4747","3924.6"
"19-May","6098","4218.7"
"20-May","6198","4485.1"
"21-May","5483","4638.0"
"22-May","5443","4814.7"
"23-May","3627","4840.9"
"24-May","3179","4967.9"
"25-May","6010","5148.3"
"26-May","7550","5355.7"
"27-May","7925","5602.4"
"28-May","7874","5944.0"
"29-May","7370","6219.3"
"30-May","5071","6425.6"
"31-May","3406","6458.0"
"01-Jun","6721","6559.6"
"02-Jun","8513","6697.1"
"03-Jun","8381","6762.3"
"04-Jun","8364","6832.3"
"05-Jun","7575","6861.6"
"06-Jun","6533","7070.4"
"07-Jun","4278","7195.0"
"08-Jun","9322","7566.6"
"09-Jun","11109","7937.4"
"10-Jun","11027","8315.4"
"11-Jun","10667","8644.4"
"12-Jun","9529","8923.6"
"13-Jun","8108","9148.6"
"14-Jun","4803","9223.6"
"15-Jun","9448","9241.6"
"16-Jun","11754","9333.7"
"17-Jun","12111","9488.6"
"18-Jun","10842","9513.6"
"19-Jun","10355","9631.6"
"20-Jun","7149","9494.6"
"21-Jun","4326","9426.4"
"22-Jun","8759","9328.0"
"23-Jun","8038","8797.1"
"24-Jun","10834","8614.7"
"25-Jun","11906","8766.7"
"26-Jun","10433","8777.9"
"27-Jun","7806","8871.7"
"28-Jun","4981","8965.3"
"29-Jun","6106","8586.3"
"30-Jun","10751","8973.9"
"01-Jul","11490","9067.6"
"02-Jul","10522","8869.9"
"03-Jul","9101","8679.6"
"04-Jul","6193","8449.1"
"05-Jul","4658","8403.0"
"06-Jul","8842","8793.9"
"07-Jul","10316","8731.7"
"08-Jul","9677","8472.7"
"09-Jul","9074","8265.9"
"10-Jul","8730","8212.9"
"11-Jul","5789","8155.1"
"12-Jul","4239","8095.3"
"13-Jul","8351","8025.1"
"14-Jul","9468","7904.0"
"15-Jul","8867","7788.3"
"16-Jul","7574","7574.0"
"17-Jul","6414","7243.1"
"18-Jul","4427","7048.6"
"19-Jul","3576","6953.9"
"20-Jul","6922","6749.7"
"21-Jul","8341","6588.7"
"22-Jul","7833","6441.0"
"23-Jul","7736","6464.1"
"24-Jul","7546","6625.9"
"25-Jul","5844","6828.3"
"26-Jul","4295","6931.0"
"27-Jul","8900","7213.6"
"28-Jul","9829","7426.1"
"29-Jul","9316","7638.0"
"30-Jul","8937","7809.6"
"31-Jul","7779","7842.9"
"01-Ago","6286","7906.0"
"02-Ago","4938","7997.9"
"03-Ago","9773","8122.6"
"04-Ago","11525","8364.9"
"05-Ago","11216","8636.3"
"06-Ago","10672","8884.1"
"07-Ago","9563","9139.0"
"08-Ago","7256","9277.6"
"09-Ago","5546","9364.4"
"10-Ago","11091","9552.7"
"11-Ago","13198","9791.7"
"12-Ago","12598","9989.1"
"13-Ago","11664","10130.9"
"14-Ago","10282","10233.6"
"15-Ago","7267","10235.1"
"16-Ago","5132","10176.0"
"17-Ago","6065","9458.0"
"18-Ago","10161","9024.1"
"19-Ago","11599","8881.4"
"20-Ago","10295","8685.9"
