"Fecha","Primera","Segunda","Unica","Refuerzo"
"21-Abr","7861410.0","5893751.0","0.0","0.0"
"22-Abr","7917848.0","6038244.0","0.0","0.0"
"23-Abr","7957742.0","6182163.0","0.0","0.0"
"24-Abr","7963492.0","6194116.0","0.0","0.0"
"25-Abr","7963845.0","6194809.0","0.0","0.0"
"26-Abr","8006993.0","6348598.0","0.0","0.0"
"27-Abr","8046035.0","6481232.0","0.0","0.0"
"28-Abr","8089560.0","6607011.0","0.0","0.0"
"29-Abr","8120480.0","6731701.0","0.0","0.0"
"30-Abr","8171494.0","6768726.0","0.0","0.0"
"01-May","8172585.0","6769936.0","0.0","0.0"
"02-May","8173386.0","6770603.0","0.0","0.0"
"03-May","8249517.0","6846602.0","0.0","0.0"
"04-May","8330653.0","6935319.0","0.0","0.0"
"05-May","8412219.0","7029090.0","0.0","0.0"
"06-May","8493872.0","7105887.0","0.0","0.0"
"07-May","8578051.0","7169888.0","0.0","0.0"
"08-May","8595438.0","7178102.0","0.0","0.0"
"09-May","8596403.0","7178550.0","0.0","0.0"
"10-May","8699772.0","7249139.0","0.0","0.0"
"11-May","8807235.0","7334587.0","0.0","0.0"
"12-May","8912150.0","7413192.0","0.0","0.0"
"13-May","9009207.0","7473951.0","0.0","0.0"
"14-May","9112518.0","7530317.0","0.0","0.0"
"15-May","9113575.0","7530726.0","0.0","0.0"
"16-May","9113841.0","7530901.0","0.0","0.0"
"17-May","9238508.0","7578097.0","0.0","0.0"
"18-May","9374687.0","7625930.0","0.0","0.0"
"19-May","9500518.0","7667294.0","0.0","0.0"
"20-May","9629093.0","7730779.0","0.0","0.0"
"21-May","9637545.0","7732180.0","0.0","0.0"
"22-May","9664491.0","7738468.0","0.0","0.0"
"23-May","9668192.0","7739059.0","0.0","0.0"
"24-May","9844134.0","7800314.0","0.0","0.0"
"25-May","10034085.0","7857324.0","0.0","0.0"
"26-May","10214811.0","7905775.0","0.0","0.0"
"27-May","10381813.0","7942152.0","0.0","0.0"
"28-May","10527316.0","7983171.0","0.0","0.0"
"29-May","10568919.0","7988972.0","0.0","0.0"
"30-May","10578043.0","7989951.0","0.0","0.0"
"31-May","10734081.0","8049732.0","74.0","0.0"
"01-Jun","10873652.0","8121458.0","10474.0","0.0"
"02-Jun","10982817.0","8193342.0","33806.0","0.0"
"03-Jun","11038469.0","8262009.0","73449.0","0.0"
"04-Jun","11080907.0","8330573.0","107837.0","0.0"
"05-Jun","11095664.0","8343649.0","117747.0","0.0"
"06-Jun","11097650.0","8344890.0","119538.0","0.0"
"07-Jun","11151589.0","8445094.0","147025.0","0.0"
"08-Jun","11211899.0","8549699.0","167120.0","0.0"
"09-Jun","11288563.0","8650144.0","183862.0","0.0"
"10-Jun","11384970.0","8743872.0","197031.0","0.0"
"11-Jun","11465625.0","8838313.0","201077.0","0.0"
"12-Jun","11488348.0","8847723.0","201471.0","0.0"
"13-Jun","11489776.0","8848322.0","201521.0","0.0"
"14-Jun","11594878.0","8960942.0","205703.0","0.0"
"15-Jun","11680049.0","9083071.0","209384.0","0.0"
"16-Jun","11785704.0","9200579.0","213338.0","0.0"
"17-Jun","11856699.0","9310757.0","216383.0","0.0"
"18-Jun","11918201.0","9354293.0","218761.0","0.0"
"19-Jun","11934795.0","9374198.0","219040.0","0.0"
"20-Jun","11936591.0","9376348.0","219052.0","0.0"
"21-Jun","11943936.0","9388727.0","219131.0","0.0"
"22-Jun","12043696.0","9594636.0","222896.0","0.0"
"23-Jun","12119274.0","9758495.0","235334.0","0.0"
"24-Jun","12167791.0","9899868.0","298934.0","0.0"
"25-Jun","12205993.0","10022987.0","349087.0","0.0"
"26-Jun","12217091.0","10054782.0","359167.0","0.0"
"27-Jun","12218129.0","10058166.0","360423.0","0.0"
"28-Jun","12219376.0","10061329.0","361650.0","0.0"
"29-Jun","12259355.0","10239137.0","393580.0","0.0"
"30-Jun","12307507.0","10373311.0","416499.0","0.0"
"01-Jul","12394503.0","10455322.0","430530.0","0.0"
"02-Jul","12459966.0","10520327.0","442011.0","0.0"
"03-Jul","12475524.0","10539350.0","445444.0","0.0"
"04-Jul","12477533.0","10541463.0","445846.0","0.0"
"05-Jul","12525342.0","10638647.0","456266.0","0.0"
"06-Jul","12569074.0","10717894.0","463864.0","0.0"
"07-Jul","12642932.0","10801578.0","468665.0","0.0"
"08-Jul","12701026.0","10896448.0","472538.0","0.0"
"09-Jul","12751637.0","10981547.0","476457.0","0.0"
"10-Jul","12771655.0","11003425.0","478033.0","0.0"
"11-Jul","12774059.0","11005971.0","478205.0","0.0"
"12-Jul","12823301.0","11132677.0","482298.0","0.0"
"13-Jul","12903576.0","11233866.0","485135.0","0.0"
"14-Jul","12958314.0","11339432.0","487865.0","0.0"
"15-Jul","13029840.0","11430077.0","493182.0","0.0"
"16-Jul","13031966.0","11432693.0","493281.0","0.0"
"17-Jul","13041928.0","11446186.0","493750.0","0.0"
"18-Jul","13042860.0","11447390.0","493852.0","0.0"
"19-Jul","13090583.0","11520570.0","496488.0","0.0"
"20-Jul","13130864.0","11613217.0","498225.0","0.0"
"21-Jul","13164263.0","11683395.0","499629.0","0.0"
"22-Jul","13200143.0","11724422.0","501222.0","0.0"
"23-Jul","13258349.0","11781191.0","502454.0","0.0"
"24-Jul","13281391.0","11791358.0","503883.0","0.0"
"25-Jul","13283455.0","11792221.0","503925.0","0.0"
"26-Jul","13298964.0","11832635.0","504876.0","0.0"
"27-Jul","13308266.0","11873714.0","505656.0","0.0"
"28-Jul","13315617.0","11901342.0","506191.0","0.0"
"29-Jul","13324283.0","11982658.0","506669.0","0.0"
"30-Jul","13332812.0","12050862.0","506945.0","0.0"
"31-Jul","13333879.0","12061013.0","506958.0","0.0"
"01-Ago","13333916.0","12061450.0","506959.0","0.0"
"02-Ago","13433528.0","12085161.0","507960.0","0.0"
"03-Ago","13546403.0","12110602.0","508815.0","0.0"
"04-Ago","13551199.0","12170408.0","509039.0","0.0"
"05-Ago","13554483.0","12213314.0","509221.0","0.0"
"06-Ago","13557478.0","12244901.0","509402.0","0.0"
"07-Ago","13557720.0","12245815.0","509418.0","0.0"
"08-Ago","13557776.0","12245841.0","509418.0","0.0"
"09-Ago","13634687.0","12267116.0","509639.0","0.0"
"10-Ago","13702753.0","12286637.0","509892.0","41.0"
"11-Ago","13705599.0","12404550.0","510003.0","70090.0"
"12-Ago","13707928.0","12483931.0","510114.0","159920.0"
"13-Ago","13710030.0","12533039.0","510211.0","256739.0"
"14-Ago","13710313.0","12534046.0","510224.0","260201.0"
"15-Ago","13710539.0","12534250.0","510224.0","260291.0"
"16-Ago","13749132.0","12556291.0","510645.0","418555.0"
"17-Ago","13783450.0","12580104.0","513730.0","596546.0"
"18-Ago","13785396.0","12657226.0","515040.0","706479.0"
"19-Ago","13786970.0","12716525.0","516528.0","813972.0"
"20-Ago","13788317.0","12771155.0","518403.0","906191.0"
"21-Ago","13788496.0","12772974.0","519577.0","909477.0"
"22-Ago","13788573.0","12773173.0","520196.0","909900.0"
"23-Ago","13813655.0","12797999.0","525145.0","974102.0"
"24-Ago","13835879.0","12815990.0","529928.0","1047796.0"
"25-Ago","13850246.0","12829771.0","533513.0","1129388.0"
"26-Ago","13851826.0","12909504.0","534996.0","1230847.0"
"27-Ago","13853243.0","12962175.0","536463.0","1308761.0"
"28-Ago","13853471.0","12963315.0","537519.0","1310601.0"
"29-Ago","13853550.0","12963487.0","537915.0","1310820.0"
"30-Ago","13871496.0","13040756.0","541929.0","1405316.0"
"31-Ago","13889165.0","13131070.0","546228.0","1496183.0"
"01-Sep","13890584.0","13164360.0","547600.0","1617136.0"
"02-Sep","13891862.0","13187923.0","548733.0","1731585.0"
"03-Sep","13892822.0","13204720.0","550060.0","1814465.0"
"04-Sep","13893006.0","13205201.0","550418.0","1816116.0"
"05-Sep","13893027.0","13205236.0","550542.0","1816231.0"
"06-Sep","13907885.0","13264484.0","552924.0","1894535.0"
"07-Sep","13923117.0","13325665.0","555025.0","1998833.0"
"08-Sep","13924303.0","13340878.0","555768.0","2132221.0"
"09-Sep","13925405.0","13351894.0","556416.0","2256755.0"
"10-Sep","13926327.0","13360873.0","556995.0","2381083.0"
"11-Sep","13926503.0","13361289.0","557197.0","2383639.0"
"12-Sep","13926521.0","13361321.0","557224.0","2383876.0"
"13-Sep","13991921.0","13400090.0","558385.0","2471100.0"
"14-Sep","14043818.0","13438828.0","559687.0","2558505.0"
"15-Sep","14098891.0","13454156.0","560716.0","2627880.0"
"16-Sep","14125957.0","13462087.0","561294.0","2658960.0"
"17-Sep","14126035.0","13462138.0","561298.0","2659013.0"
"18-Sep","14126040.0","13462144.0","561309.0","2659013.0"
"19-Sep","14126040.0","13462146.0","561312.0","2659013.0"
"20-Sep","14191876.0","13484616.0","562267.0","2715266.0"
"21-Sep","14253468.0","13508194.0","563187.0","2787767.0"
"22-Sep","14327306.0","13525566.0","563845.0","2862570.0"
"23-Sep","14378724.0","13536319.0","564421.0","2943612.0"
"24-Sep","14450454.0","13545561.0","564931.0","3011141.0"
"25-Sep","14451235.0","13545833.0","565063.0","3012690.0"
"26-Sep","14451437.0","13545858.0","565102.0","3012849.0"
"27-Sep","14550366.0","13563220.0","565668.0","3094879.0"
"28-Sep","14671487.0","13582824.0","566255.0","3187095.0"
"29-Sep","14795111.0","13593938.0","566820.0","3273634.0"
"30-Sep","14910442.0","13602459.0","567248.0","3350286.0"
"01-Oct","15015584.0","13609651.0","567873.0","3420035.0"
"02-Oct","15021529.0","13609962.0","567929.0","3422146.0"
"03-Oct","15021944.0","13610023.0","567956.0","3422604.0"
"04-Oct","15105861.0","13625168.0","568278.0","3494171.0"
"05-Oct","15182970.0","13640691.0","568595.0","3570184.0"
"06-Oct","15252630.0","13647849.0","569010.0","3647156.0"
"07-Oct","15316486.0","13653785.0","569269.0","3732206.0"
"08-Oct","15371227.0","13659318.0","569457.0","3816723.0"
"09-Oct","15373242.0","13659567.0","569505.0","3818158.0"
"10-Oct","15373348.0","13659590.0","569506.0","3818438.0"
"11-Oct","15373871.0","13659876.0","569506.0","3819145.0"
"12-Oct","15431767.0","13725286.0","569718.0","3909841.0"
"13-Oct","15489751.0","13778686.0","569883.0","4023541.0"
"14-Oct","15539438.0","13811071.0","570059.0","4136799.0"
"15-Oct","15579468.0","13829162.0","570236.0","4252256.0"
"16-Oct","15581300.0","13829586.0","570243.0","4256103.0"
"17-Oct","15581405.0","13829624.0","570245.0","4256776.0"
"18-Oct","15621078.0","13876609.0","570407.0","4361201.0"
"19-Oct","15666450.0","13930950.0","570582.0","4488036.0"
"20-Oct","15706147.0","13992397.0","570852.0","4625029.0"
"21-Oct","15742385.0","14040783.0","570984.0","4771986.0"
"22-Oct","15772150.0","14096229.0","571118.0","4929581.0"
"23-Oct","15773552.0","14097467.0","571131.0","4936602.0"
"24-Oct","15773680.0","14097531.0","571131.0","4937443.0"
"25-Oct","15808409.0","14176262.0","571290.0","5101281.0"
"26-Oct","15840904.0","14270736.0","571437.0","5295160.0"
"27-Oct","15872749.0","14372271.0","571595.0","5485866.0"
"28-Oct","15902352.0","14473313.0","571681.0","5674987.0"
"29-Oct","15927199.0","14564507.0","571759.0","5853297.0"
"30-Oct","15929596.0","14568774.0","571763.0","5873838.0"
"31-Oct","15929859.0","14569031.0","571767.0","5876098.0"
"01-Nov","15930062.0","14569552.0","571773.0","5877871.0"
"02-Nov","15956269.0","14663314.0","571973.0","6016724.0"
"03-Nov","15982989.0","14751538.0","572110.0","6210102.0"
"04-Nov","16008567.0","14832519.0","572279.0","6396425.0"
"05-Nov","16032375.0","14903110.0","572395.0","6562087.0"
"06-Nov","16035194.0","14907352.0","572403.0","6587819.0"
"07-Nov","16035400.0","14907564.0","572403.0","6590638.0"
"08-Nov","16059197.0","14950275.0","572563.0","6708964.0"
"09-Nov","16081567.0","15009242.0","572726.0","6856775.0"
"10-Nov","16101466.0","15066483.0","572775.0","6991664.0"
"11-Nov","16119345.0","15121241.0","572819.0","7108454.0"
"12-Nov","16137424.0","15169019.0","572862.0","7237797.0"
"13-Nov","16140351.0","15172794.0","572879.0","7263894.0"
"14-Nov","16140563.0","15173043.0","572893.0","7266695.0"
"15-Nov","16160501.0","15219430.0","572946.0","7393432.0"
"16-Nov","16178808.0","15265931.0","572990.0","7520488.0"
"17-Nov","16194669.0","15308397.0","573028.0","7643931.0"
"18-Nov","16208717.0","15346123.0","573069.0","7755849.0"
"19-Nov","16221466.0","15378006.0","573108.0","7869537.0"
"20-Nov","16223087.0","15380154.0","573111.0","7887825.0"
"21-Nov","16223224.0","15380289.0","573112.0","7889595.0"
"22-Nov","16236724.0","15411570.0","573143.0","7982736.0"
"23-Nov","16249155.0","15445702.0","573184.0","8078415.0"
"24-Nov","16260217.0","15478030.0","573226.0","8172609.0"
"25-Nov","16270520.0","15509140.0","573254.0","8256428.0"
"26-Nov","16280285.0","15537693.0","573272.0","8343404.0"
"27-Nov","16282167.0","15540670.0","573282.0","8362916.0"
"28-Nov","16282416.0","15540954.0","573284.0","8365524.0"
"29-Nov","16294719.0","15560918.0","573333.0","8469444.0"
"30-Nov","16306760.0","15588402.0","573368.0","8597893.0"
"01-Dic","16317608.0","15612482.0","573405.0","8722742.0"
"02-Dic","16327350.0","15635650.0","573431.0","8839999.0"
"03-Dic","16336297.0","15657376.0","573463.0","8956815.0"
"04-Dic","16337772.0","15659761.0","573475.0","8978139.0"
"05-Dic","16337982.0","15660001.0","573475.0","8981217.0"
"06-Dic","16353161.0","15683962.0","573520.0","9104089.0"
"07-Dic","16368832.0","15707509.0","573562.0","9235474.0"
"08-Dic","16369151.0","15707784.0","573562.0","9238064.0"
"09-Dic","16408939.0","15731604.0","573576.0","9335760.0"
"10-Dic","16445756.0","15751860.0","573601.0","9428202.0"
"11-Dic","16449728.0","15754560.0","573603.0","9450370.0"
"12-Dic","16450082.0","15754891.0","573603.0","9453478.0"
"13-Dic","16483419.0","15777779.0","573630.0","9567414.0"
"14-Dic","16514101.0","15798716.0","573679.0","9676939.0"
"15-Dic","16541307.0","15817850.0","573738.0","9776031.0"
"16-Dic","16566346.0","15834558.0","573768.0","9864820.0"
"17-Dic","16587856.0","15849085.0","573786.0","9944588.0"
"18-Dic","16590674.0","15850882.0","573789.0","9961345.0"
"19-Dic","16590905.0","15851029.0","573792.0","9963507.0"
"20-Dic","16611133.0","15866048.0","573813.0","10054973.0"
"21-Dic","16629133.0","15880417.0","573829.0","10142230.0"
"22-Dic","16643511.0","15893070.0","573840.0","10215740.0"
"23-Dic","16653409.0","15903261.0","573854.0","10273125.0"
"24-Dic","16655205.0","15905782.0","573854.0","10288860.0"
"25-Dic","16655206.0","15905783.0","573854.0","10288941.0"
"26-Dic","16655311.0","15905902.0","573854.0","10290029.0"
"27-Dic","16673746.0","15921830.0","573866.0","10420769.0"
"28-Dic","16694170.0","15938799.0","573884.0","10601597.0"
"29-Dic","16713629.0","15955191.0","573903.0","10795431.0"
"30-Dic","16730544.0","15970225.0","573915.0","10982222.0"
"31-Dic","16733915.0","15973763.0","573916.0","11030979.0"
"01-Ene","16733923.0","15973768.0","573916.0","11031075.0"
"02-Ene","16733964.0","15973824.0","573916.0","11031858.0"
"03-Ene","16753769.0","15990484.0","573930.0","11177725.0"
"04-Ene","16774469.0","16008281.0","573943.0","11311025.0"
"05-Ene","16793515.0","16020916.0","573970.0","11422557.0"
"06-Ene","16810906.0","16048660.0","573990.0","11518073.0"
"07-Ene","16828145.0","16077403.0","573998.0","11609195.0"
"08-Ene","16829919.0","16079523.0","573999.0","11620294.0"
"09-Ene","16830141.0","16079728.0","573999.0","11622235.0"
"10-Ene","16850294.0","16109365.0","574013.0","11716531.0"
"11-Ene","16867813.0","16136221.0","574033.0","11795137.0"
"12-Ene","16882879.0","16160096.0","574045.0","11862077.0"
"13-Ene","16896535.0","16182882.0","574051.0","11919693.0"
