"","Positividad","Positividad últimos 7 días"
"24-Sep","0.0595","0.0655"
"25-Sep","0.059","0.0668"
"26-Sep","0.0553","0.0671"
"27-Sep","0.0488","0.0658"
"28-Sep","0.0472","0.0624"
"29-Sep","0.0561","0.0591"
"30-Sep","0.0612","0.0553"
"01-Oct","0.0525","0.0543"
"02-Oct","0.0476","0.0527"
"03-Oct","0.0527","0.0523"
"04-Oct","0.047","0.052"
"05-Oct","0.0433","0.0515"
"06-Oct","0.0591","0.0519"
"07-Oct","0.0574","0.0514"
"08-Oct","0.0478","0.0507"
"09-Oct","0.0482","0.0508"
"10-Oct","0.0506","0.0505"
"11-Oct","0.0453","0.0502"
"12-Oct","0.0422","0.0501"
"13-Oct","0.0544","0.0494"
"14-Oct","0.0628","0.0502"
"15-Oct","0.0623","0.0523"
"16-Oct","0.0543","0.0531"
"17-Oct","0.0495","0.053"
"18-Oct","0.0474","0.0533"
"19-Oct","0.0446","0.0536"
"20-Oct","0.0427","0.0519"
"21-Oct","0.0611","0.0517"
"22-Oct","0.0471","0.0495"
"23-Oct","0.0475","0.0486"
"24-Oct","0.0432","0.0477"
"25-Oct","0.04","0.0466"
"26-Oct","0.0398","0.0459"
"27-Oct","0.0461","0.0464"
"28-Oct","0.046","0.0442"
"29-Oct","0.0455","0.044"
"30-Oct","0.0415","0.0432"
"31-Oct","0.0429","0.0431"
"01-Nov","0.0391","0.043"
"02-Nov","0.0362","0.0425"
"03-Nov","0.0427","0.042"
"04-Nov","0.0469","0.0421"
"05-Nov","0.045","0.042"
"06-Nov","0.0445","0.0425"
"07-Nov","0.0399","0.042"
"08-Nov","0.0375","0.0418"
"09-Nov","0.0353","0.0417"
"10-Nov","0.0453","0.0421"
"11-Nov","0.0408","0.0412"
"12-Nov","0.0457","0.0413"
"13-Nov","0.0416","0.0409"
"14-Nov","0.0406","0.041"
"15-Nov","0.0391","0.0412"
"16-Nov","0.0357","0.0413"
"17-Nov","0.0442","0.0411"
"18-Nov","0.0467","0.0419"
"19-Nov","0.0412","0.0413"
"20-Nov","0.0401","0.0411"
"21-Nov","0.0392","0.0409"
"22-Nov","0.0374","0.0406"
"23-Nov","0.0375","0.0409"
"24-Nov","0.0442","0.0409"
"25-Nov","0.0493","0.0413"
"26-Nov","0.0432","0.0416"
"27-Nov","0.0403","0.0416"
"28-Nov","0.0435","0.0422"
"29-Nov","0.0348","0.0418"
"30-Nov","0.035","0.0415"
"01-Dic","0.0473","0.0419"
"02-Dic","0.0479","0.0417"
"03-Dic","0.0418","0.0415"
"04-Dic","0.0425","0.0418"
"05-Dic","0.0382","0.0411"
"06-Dic","0.0405","0.0419"
"07-Dic","0.0454","0.0434"
"08-Dic","0.0493","0.0437"
"09-Dic","0.0562","0.0448"
"10-Dic","0.0511","0.0462"
"11-Dic","0.0556","0.048"
"12-Dic","0.0448","0.049"
"13-Dic","0.0445","0.0496"
"14-Dic","0.0408","0.0489"
"15-Dic","0.0508","0.0491"
"16-Dic","0.0541","0.0488"
"17-Dic","0.0499","0.0486"
"18-Dic","0.0506","0.0479"
"19-Dic","0.0474","0.0483"
"20-Dic","0.0436","0.0482"
"21-Dic","0.0425","0.0484"
"22-Dic","0.0568","0.0493"
"23-Dic","0.0553","0.0494"
"24-Dic","0.0541","0.05"
"25-Dic","0.0525","0.0503"
"26-Dic","0.0531","0.0511"
"27-Dic","0.0627","0.0539"
"28-Dic","0.0819","0.0595"
"29-Dic","0.0874","0.0639"
"30-Dic","0.0752","0.0667"
"31-Dic","0.071","0.0691"
"01-Ene","0.0709","0.0717"
"02-Ene","0.0723","0.0745"
"03-Ene","0.0769","0.0765"
"04-Ene","0.0961","0.0785"
"05-Ene","0.0952","0.0797"
"06-Ene","0.0742","0.0795"
"07-Ene","0.0772","0.0804"
"08-Ene","0.0777","0.0814"
"09-Ene","0.075","0.0818"
"10-Ene","0.07","0.0808"
"11-Ene","0.0691","0.0769"
"12-Ene","0.0758","0.0741"
"13-Ene","0.0819","0.0752"
"14-Ene","0.0772","0.0752"
"15-Ene","0.0758","0.075"
"16-Ene","0.0662","0.0737"
"17-Ene","0.0634","0.0728"
"18-Ene","0.0704","0.073"
"19-Ene","0.0809","0.0737"
"20-Ene","0.0863","0.0743"
"21-Ene","0.0766","0.0742"
"22-Ene","0.0793","0.0747"
"23-Ene","0.0779","0.0764"
"24-Ene","0.0687","0.0772"
"25-Ene","0.0737","0.0776"
"26-Ene","0.0773","0.0771"
"27-Ene","0.0852","0.077"
"28-Ene","0.0792","0.0773"
"29-Ene","0.0744","0.0766"
"30-Ene","0.0657","0.0749"
"31-Ene","0.0696","0.075"
"01-Feb","0.0644","0.0737"
"02-Feb","0.0691","0.0725"
"03-Feb","0.0805","0.0718"
"04-Feb","0.069","0.0704"
"05-Feb","0.0674","0.0694"
"06-Feb","0.0678","0.0697"
"07-Feb","0.0692","0.0696"
"08-Feb","0.0686","0.0702"
"09-Feb","0.0725","0.0707"
"10-Feb","0.0835","0.0711"
"11-Feb","0.0707","0.0714"
"12-Feb","0.0754","0.0725"
"13-Feb","0.0716","0.0731"
"14-Feb","0.0695","0.0731"
"15-Feb","0.0659","0.0727"
"16-Feb","0.0745","0.073"
"17-Feb","0.0935","0.0744"
"18-Feb","0.0755","0.0751"
"19-Feb","0.077","0.0754"
"20-Feb","0.0749","0.0758"
"21-Feb","0.0723","0.0762"
"22-Feb","0.0649","0.0761"
"23-Feb","0.0748","0.0761"
"24-Feb","0.0884","0.0754"
"25-Feb","0.0819","0.0763"
"26-Feb","0.0822","0.0771"
"27-Feb","0.0807","0.0779"
"28-Feb","0.0789","0.0788"
"01-Mar","0.0712","0.0797"
"02-Mar","0.0858","0.0813"
"03-Mar","0.1092","0.0843"
"04-Mar","0.0807","0.0841"
"05-Mar","0.0861","0.0847"
"06-Mar","0.0842","0.0852"
"07-Mar","0.0819","0.0856"
"08-Mar","0.0754","0.0862"
"09-Mar","0.0978","0.0879"
"10-Mar","0.1101","0.088"
"11-Mar","0.0874","0.089"
"12-Mar","0.0893","0.0894"
"13-Mar","0.0838","0.0894"
"14-Mar","0.0823","0.0894"
"15-Mar","0.073","0.0891"
"16-Mar","0.0974","0.089"
"17-Mar","0.1129","0.0894"
"18-Mar","0.087","0.0894"
"19-Mar","0.0884","0.0893"
"20-Mar","0.0908","0.0903"
"21-Mar","0.0876","0.091"
"22-Mar","0.0792","0.0919"
"23-Mar","0.0879","0.0905"
"24-Mar","0.1147","0.0908"
"25-Mar","0.096","0.0921"
"26-Mar","0.0964","0.0932"
"27-Mar","0.0935","0.0936"
"28-Mar","0.0913","0.0941"
"29-Mar","0.0934","0.0962"
"30-Mar","0.1133","0.0998"
"31-Mar","0.1381","0.1031"
"01-Abr","0.1102","0.1052"
"02-Abr","0.1077","0.1068"
"03-Abr","0.1109","0.1093"
"04-Abr","0.1029","0.1109"
"05-Abr","0.1225","0.1151"
"06-Abr","0.1391","0.1188"
"07-Abr","0.1542","0.1211"
"08-Abr","0.1118","0.1213"
"09-Abr","0.1132","0.1221"
"10-Abr","0.1068","0.1215"
"11-Abr","0.106","0.1219"
"12-Abr","0.0842","0.1165"
"13-Abr","0.11","0.1123"
"14-Abr","0.1373","0.1099"
"15-Abr","0.0974","0.1078"
"16-Abr","0.0932","0.105"
"17-Abr","0.1003","0.1041"
"18-Abr","0.0914","0.102"
"19-Abr","0.0872","0.1024"
"20-Abr","0.1049","0.1017"
"21-Abr","0.1223","0.0995"
"22-Abr","0.0957","0.0993"
"23-Abr","0.1015","0.1005"
"24-Abr","0.0978","0.1001"
"25-Abr","0.0918","0.1002"
"26-Abr","0.0834","0.0996"
"27-Abr","0.0988","0.0988"
"28-Abr","0.1238","0.099"
"29-Abr","0.1007","0.0997"
"30-Abr","0.0935","0.0985"
"01-May","0.0941","0.098"
"02-May","0.0857","0.0971"
"03-May","0.0758","0.0961"
"04-May","0.0968","0.0958"
"05-May","0.1052","0.0931"
"06-May","0.0909","0.0917"
"07-May","0.091","0.0914"
"08-May","0.0898","0.0907"
"09-May","0.0803","0.09"
"10-May","0.0747","0.0898"
"11-May","0.0908","0.089"
"12-May","0.1103","0.0897"
"13-May","0.0899","0.0895"
"14-May","0.0952","0.0901"
"15-May","0.0933","0.0906"
"16-May","0.0866","0.0915"
"17-May","0.0776","0.092"
"18-May","0.1087","0.0945"
"19-May","0.1177","0.0956"
"20-May","0.1002","0.097"
"21-May","0.1006","0.0978"
"22-May","0.0959","0.0982"
"23-May","0.0902","0.0987"
"24-May","0.1083","0.1031"
"25-May","0.1072","0.1029"
"26-May","0.1279","0.1043"
"27-May","0.1019","0.1046"
"28-May","0.1071","0.1055"
"29-May","0.1009","0.1062"
"30-May","0.0901","0.1062"
"31-May","0.0874","0.1032"
"01-Jun","0.1004","0.1022"
"02-Jun","0.1187","0.1009"
"03-Jun","0.0969","0.1002"
"04-Jun","0.1","0.0992"
"05-Jun","0.1004","0.0991"
"06-Jun","0.0886","0.0989"
"07-Jun","0.0839","0.0984"
"08-Jun","0.0998","0.0983"
"09-Jun","0.1118","0.0973"
"10-Jun","0.0947","0.097"
"11-Jun","0.092","0.0959"
"12-Jun","0.0907","0.0945"
"13-Jun","0.0832","0.0937"
"14-Jun","0.0803","0.0932"
"15-Jun","0.0874","0.0914"
"16-Jun","0.099","0.0896"
"17-Jun","0.0782","0.0873"
"18-Jun","0.0809","0.0857"
"19-Jun","0.0777","0.0838"
"20-Jun","0.0756","0.0827"
"21-Jun","0.0654","0.0806"
"22-Jun","0.0801","0.0796"
"23-Jun","0.0937","0.0788"
"24-Jun","0.0761","0.0785"
"25-Jun","0.0733","0.0774"
"26-Jun","0.0686","0.0761"
"27-Jun","0.0599","0.0739"
"28-Jun","0.0566","0.0726"
"29-Jun","0.0685","0.071"
"30-Jun","0.0768","0.0685"
"01-Jul","0.0628","0.0666"
"02-Jul","0.0565","0.0642"
"03-Jul","0.052","0.0619"
"04-Jul","0.0444","0.0597"
"05-Jul","0.043","0.0577"
"06-Jul","0.0492","0.055"
"07-Jul","0.0479","0.0508"
"08-Jul","0.0445","0.0482"
"09-Jul","0.0424","0.0462"
"10-Jul","0.0403","0.0445"
"11-Jul","0.0343","0.0431"
"12-Jul","0.0354","0.042"
"13-Jul","0.0373","0.0403"
"14-Jul","0.0358","0.0386"
"15-Jul","0.033","0.0369"
"16-Jul","0.0319","0.0354"
"17-Jul","0.03","0.034"
"18-Jul","0.0259","0.0328"
"19-Jul","0.0291","0.0319"
"20-Jul","0.0296","0.0308"
"21-Jul","0.0273","0.0295"
"22-Jul","0.0269","0.0287"
"23-Jul","0.0265","0.0279"
"24-Jul","0.0219","0.0267"
"25-Jul","0.0224","0.0262"
"26-Jul","0.0206","0.025"
"27-Jul","0.0217","0.0239"
"28-Jul","0.0217","0.0231"
"29-Jul","0.0197","0.0221"
"30-Jul","0.0214","0.0213"
"31-Jul","0.018","0.0208"
"01-Ago","0.0178","0.0201"
"02-Ago","0.0147","0.0193"
"03-Ago","0.0193","0.0189"
"04-Ago","0.0181","0.0184"
"05-Ago","0.0175","0.0181"
"06-Ago","0.0182","0.0177"
"07-Ago","0.0144","0.0171"
"08-Ago","0.0154","0.0168"
"09-Ago","0.0148","0.0168"
"10-Ago","0.0157","0.0163"
"11-Ago","0.0161","0.016"
"12-Ago","0.017","0.0159"
"13-Ago","0.014","0.0153"
"14-Ago","0.0143","0.0153"
"15-Ago","0.0148","0.0152"
"16-Ago","0.0132","0.015"
"17-Ago","0.012","0.0145"
"18-Ago","0.0138","0.0142"
"19-Ago","0.0132","0.0136"
"20-Ago","0.0123","0.0134"
"21-Ago","0.0112","0.0129"
"22-Ago","0.0111","0.0124"
"23-Ago","0.0111","0.0121"
"24-Ago","0.0132","0.0123"
"25-Ago","0.0098","0.0117"
"26-Ago","0.0129","0.0117"
"27-Ago","0.0111","0.0115"
"28-Ago","0.0107","0.0114"
"29-Ago","0.0103","0.0113"
"30-Ago","0.0103","0.0112"
"31-Ago","0.012","0.011"
"01-Sep","0.0083","0.0108"
"02-Sep","0.0094","0.0103"
"03-Sep","0.0089","0.01"
"04-Sep","0.0081","0.0096"
"05-Sep","0.0076","0.0092"
"06-Sep","0.0089","0.009"
"07-Sep","0.0099","0.0087"
"08-Sep","0.008","0.0087"
"09-Sep","0.0087","0.0086"
"10-Sep","0.009","0.0086"
"11-Sep","0.0087","0.0087"
"12-Sep","0.0088","0.0089"
"13-Sep","0.0087","0.0088"
"14-Sep","0.01","0.0088"
"15-Sep","0.0108","0.0092"
"16-Sep","0.0099","0.0094"
"17-Sep","0.0103","0.0096"
"18-Sep","0.0115","0.01"
"19-Sep","0.0129","0.0106"
"20-Sep","0.0117","0.011"
"21-Sep","0.0135","0.0115"
"22-Sep","0.0111","0.0116"
"23-Sep","0.0129","0.012"
"24-Sep","0.0118","0.0122"
"25-Sep","0.0109","0.0121"
"26-Sep","0.0104","0.0118"
"27-Sep","0.0108","0.0116"
"28-Sep","0.0156","0.0119"
"29-Sep","0.0107","0.0119"
"30-Sep","0.0133","0.0119"
"01-Oct","0.0122","0.012"
"02-Oct","0.0129","0.0123"
"03-Oct","0.0121","0.0125"
"04-Oct","0.0127","0.0128"
"05-Oct","0.0148","0.0127"
"06-Oct","0.0152","0.0133"
"07-Oct","0.0151","0.0136"
"08-Oct","0.0166","0.0142"
"09-Oct","0.0157","0.0146"
"10-Oct","0.0177","0.0154"
"11-Oct","0.019","0.0163"
"12-Oct","0.0209","0.0172"
"13-Oct","0.0245","0.0185"
"14-Oct","0.0242","0.0198"
"15-Oct","0.0246","0.0209"
"16-Oct","0.0259","0.0224"
"17-Oct","0.0226","0.0231"
"18-Oct","0.0246","0.0239"
"19-Oct","0.0253","0.0245"
"20-Oct","0.0236","0.0244"
"21-Oct","0.027","0.0248"
"22-Oct","0.029","0.0254"
"23-Oct","0.0295","0.0259"
"24-Oct","0.0258","0.0264"
"25-Oct","0.0277","0.0268"
"26-Oct","0.0306","0.0276"
"27-Oct","0.0311","0.0287"
"28-Oct","0.0295","0.029"
"29-Oct","0.0323","0.0295"
"30-Oct","0.0304","0.0296"
"31-Oct","0.0319","0.0305"
"01-Nov","0.0307","0.0309"
"02-Nov","0.0328","0.0312"
"03-Nov","0.0362","0.032"
"04-Nov","0.0322","0.0324"
"05-Nov","0.0308","0.0321"
"06-Nov","0.0336","0.0326"
"07-Nov","0.0321","0.0326"
"08-Nov","0.0344","0.0332"
"09-Nov","0.0339","0.0333"
"10-Nov","0.0352","0.0332"
"11-Nov","0.0326","0.0332"
"12-Nov","0.0348","0.0338"
"13-Nov","0.0311","0.0334"
