"","Positividad","Positividad últimos 7 días"
"27-May","0.112","0.0959"
"28-May","0.1169","0.0993"
"29-May","0.1078","0.1023"
"30-May","0.1069","0.1068"
"31-May","0.0965","0.1067"
"01-Jun","0.1123","0.1081"
"02-Jun","0.1144","0.1095"
"03-Jun","0.1235","0.1112"
"04-Jun","0.1227","0.112"
"05-Jun","0.1159","0.1132"
"06-Jun","0.1234","0.1155"
"07-Jun","0.1185","0.1187"
"08-Jun","0.1422","0.1229"
"09-Jun","0.142","0.1269"
"10-Jun","0.1393","0.1291"
"11-Jun","0.1385","0.1314"
"12-Jun","0.1284","0.1332"
"13-Jun","0.129","0.134"
"14-Jun","0.1245","0.1348"
"15-Jun","0.1392","0.1344"
"16-Jun","0.1411","0.1343"
"17-Jun","0.1444","0.135"
"18-Jun","0.1428","0.1356"
"19-Jun","0.1338","0.1364"
"20-Jun","0.1337","0.1371"
"21-Jun","0.1493","0.1406"
"22-Jun","0.147","0.1417"
"23-Jun","0.1483","0.1428"
"24-Jun","0.1728","0.1468"
"25-Jun","0.1711","0.1509"
"26-Jun","0.1523","0.1535"
"27-Jun","0.146","0.1553"
"28-Jun","0.1511","0.1555"
"29-Jun","0.1653","0.1581"
"30-Jun","0.1664","0.1607"
"01-Jul","0.1553","0.1582"
"02-Jul","0.1519","0.1555"
"03-Jul","0.1433","0.1542"
"04-Jul","0.1329","0.1523"
"05-Jul","0.1526","0.1525"
"06-Jul","0.1537","0.1509"
"07-Jul","0.1496","0.1485"
"08-Jul","0.1469","0.1473"
"09-Jul","0.1454","0.1463"
"10-Jul","0.1419","0.1461"
"11-Jul","0.1375","0.1468"
"12-Jul","0.1559","0.1473"
"13-Jul","0.154","0.1473"
"14-Jul","0.1472","0.147"
"15-Jul","0.1516","0.1476"
"16-Jul","0.1397","0.1468"
"17-Jul","0.127","0.1447"
"18-Jul","0.1245","0.1428"
"19-Jul","0.142","0.1409"
"20-Jul","0.1396","0.1388"
"21-Jul","0.1401","0.1378"
"22-Jul","0.137","0.1357"
"23-Jul","0.1411","0.1359"
"24-Jul","0.1319","0.1366"
"25-Jul","0.1344","0.138"
"26-Jul","0.1427","0.1381"
"27-Jul","0.1569","0.1406"
"28-Jul","0.1469","0.1416"
"29-Jul","0.1474","0.143"
"30-Jul","0.1403","0.1429"
"31-Jul","0.1271","0.1422"
"01-Ago","0.1288","0.1414"
"02-Ago","0.1524","0.1428"
"03-Ago","0.1531","0.1423"
"04-Ago","0.1544","0.1434"
"05-Ago","0.154","0.1443"
"06-Ago","0.1493","0.1456"
"07-Ago","0.1309","0.1461"
"08-Ago","0.1417","0.148"
"09-Ago","0.1618","0.1493"
"10-Ago","0.1566","0.1498"
"11-Ago","0.1511","0.1493"
"12-Ago","0.1401","0.1474"
"13-Ago","0.1471","0.147"
"14-Ago","0.1334","0.1474"
"15-Ago","0.1344","0.1464"
"16-Ago","0.1492","0.1446"
"17-Ago","0.1552","0.1444"
"18-Ago","0.1491","0.1441"
"19-Ago","0.1414","0.1443"
"20-Ago","0.1308","0.1419"
"21-Ago","0.123","0.1404"
"22-Ago","0.1208","0.1385"
"23-Ago","0.1301","0.1358"
"24-Ago","0.1291","0.132"
"25-Ago","0.1208","0.128"
"26-Ago","0.1123","0.1238"
"27-Ago","0.1159","0.1217"
"28-Ago","0.1081","0.1196"
"29-Ago","0.1027","0.117"
"30-Ago","0.1127","0.1145"
"31-Ago","0.1051","0.1111"
"01-Sep","0.1049","0.1088"
"02-Sep","0.1038","0.1076"
"03-Sep","0.103","0.1058"
"04-Sep","0.0956","0.104"
"05-Sep","0.0916","0.1024"
"06-Sep","0.103","0.101"
"07-Sep","0.1035","0.1008"
"08-Sep","0.1016","0.1003"
"09-Sep","0.0937","0.0989"
"10-Sep","0.0915","0.0972"
"11-Sep","0.0829","0.0954"
"12-Sep","0.0866","0.0947"
"13-Sep","0.0904","0.0929"
