"","ocupados","disponibles"
"20-Dic","1822","321"
"21-Dic","1822","325"
"22-Dic","1854","283"
"23-Dic","1857","279"
"24-Dic","1870","272"
"25-Dic","1892","258"
"26-Dic","1876","275"
"27-Dic","1859","290"
"28-Dic","1890","273"
"29-Dic","1884","273"
"30-Dic","1914","252"
"31-Dic","1890","272"
"01-Ene","1867","301"
"02-Ene","1855","314"
"03-Ene","1869","307"
"04-Ene","1896","280"
"05-Ene","1898","283"
"06-Ene","1864","233"
"07-Ene","1906","209"
"08-Ene","1906","200"
"09-Ene","1934","177"
"10-Ene","1922","187"
"11-Ene","1924","180"
"12-Ene","1951","182"
"13-Ene","1945","175"
"14-Ene","1964","162"
"15-Ene","1987","174"
"16-Ene","2008","188"
"17-Ene","2024","204"
"18-Ene","2041","203"
"19-Ene","2060","187"
"20-Ene","2092","198"
"21-Ene","2129","173"
"22-Ene","2165","181"
"23-Ene","2184","183"
"24-Ene","2206","192"
"25-Ene","2190","192"
"26-Ene","2210","180"
"27-Ene","2247","178"
"28-Ene","2284","185"
"29-Ene","2294","188"
"30-Ene","2334","161"
"31-Ene","2300","188"
"01-Feb","2295","196"
"02-Feb","2324","184"
"03-Feb","2397","200"
"04-Feb","2427","209"
"05-Feb","2447","204"
"06-Feb","2476","201"
"07-Feb","2453","227"
"08-Feb","2458","231"
"09-Feb","2477","227"
"10-Feb","2484","226"
"11-Feb","2529","215"
"12-Feb","2521","232"
"13-Feb","2525","231"
"14-Feb","2515","231"
"15-Feb","2523","223"
"16-Feb","2525","226"
"17-Feb","2517","239"
"18-Feb","2518","250"
"19-Feb","2512","257"
"20-Feb","2535","240"
"21-Feb","2532","246"
"22-Feb","2559","222"
"23-Feb","2585","186"
"24-Feb","2564","226"
"25-Feb","2584","216"
"26-Feb","2599","192"
"27-Feb","2600","197"
"28-Feb","2605","200"
"01-Mar","2593","213"
"02-Mar","2636","173"
"03-Mar","2669","165"
"04-Mar","2658","187"
"05-Mar","2683","178"
"06-Mar","2707","167"
"07-Mar","2717","183"
"08-Mar","2747","166"
"09-Mar","2768","188"
"10-Mar","2851","204"
"11-Mar","2895","193"
"12-Mar","2909","201"
"13-Mar","2927","214"
"14-Mar","2973","192"
"15-Mar","2999","178"
"16-Mar","3031","166"
"17-Mar","3088","188"
"18-Mar","3139","193"
"19-Mar","3141","201"
"20-Mar","3163","198"
"21-Mar","3204","194"
"22-Mar","3232","177"
"23-Mar","3259","178"
"24-Mar","3309","174"
"25-Mar","3336","182"
"26-Mar","3352","169"
"27-Mar","3413","147"
"28-Mar","3414","165"
"29-Mar","3461","146"
"30-Mar","3515","132"
"31-Mar","3559","139"
"01-Abr","3617","159"
"02-Abr","3684","169"
"03-Abr","3714","199"
"04-Abr","3733","189"
"05-Abr","3767","164"
"06-Abr","3801","153"
"07-Abr","3835","180"
"08-Abr","3884","189"
"09-Abr","3894","209"
"10-Abr","3950","173"
"11-Abr","3976","174"
"12-Abr","4023","135"
"13-Abr","4025","150"
"14-Abr","4100","172"
"15-Abr","4082","214"
"16-Abr","4137","198"
"17-Abr","4164","193"
"18-Abr","4175","198"
"19-Abr","4191","198"
"20-Abr","4214","176"
"21-Abr","4207","213"
"22-Abr","4245","214"
"23-Abr","4265","226"
"24-Abr","4256","232"
"25-Abr","4255","244"
"26-Abr","4278","217"
"27-Abr","4295","217"
"28-Abr","4304","214"
"29-Abr","4315","210"
"30-Abr","4286","252"
"01-May","4301","238"
"02-May","4284","257"
"03-May","4295","240"
"04-May","4305","231"
"05-May","4286","253"
"06-May","4260","283"
"07-May","4250","294"
"08-May","4221","311"
"09-May","4223","304"
"10-May","4224","299"
"11-May","4212","313"
"12-May","4158","347"
"13-May","4138","368"
"14-May","4164","332"
"15-May","4147","337"
"16-May","4139","341"
"17-May","4160","323"
"18-May","4166","315"
"19-May","4177","282"
"20-May","4155","308"
"21-May","4168","291"
"22-May","4175","278"
"23-May","4190","248"
"24-May","4217","218"
"25-May","4254","181"
"26-May","4229","204"
"27-May","4229","217"
"28-May","4251","207"
"29-May","4265","195"
"30-May","4266","178"
"31-May","4285","150"
"01-Jun","4303","147"
"02-Jun","4312","146"
"03-Jun","4320","149"
"04-Jun","4315","157"
"05-Jun","4306","167"
"06-Jun","4308","176"
"07-Jun","4320","166"
"08-Jun","4345","145"
"09-Jun","4349","149"
"10-Jun","4331","182"
"11-Jun","4321","195"
"12-Jun","4343","180"
"13-Jun","4342","180"
"14-Jun","4365","160"
"15-Jun","4358","167"
"16-Jun","4342","183"
"17-Jun","4340","175"
"18-Jun","4328","188"
"19-Jun","4322","191"
"20-Jun","4291","220"
"21-Jun","4286","227"
"22-Jun","4299","210"
"23-Jun","4329","188"
"24-Jun","4278","229"
"25-Jun","4245","263"
"26-Jun","4257","247"
"27-Jun","4216","279"
"28-Jun","4228","266"
"29-Jun","4210","274"
"30-Jun","4213","263"
"01-Jul","4180","283"
"02-Jul","4150","286"
"03-Jul","4125","287"
"04-Jul","4065","325"
"05-Jul","4057","334"
"06-Jul","4056","325"
"07-Jul","3998","352"
"08-Jul","3959","352"
"09-Jul","3932","359"
"10-Jul","3915","341"
"11-Jul","3844","399"
"12-Jul","3848","390"
"13-Jul","3836","378"
"14-Jul","3775","398"
"15-Jul","3716","443"
"16-Jul","3679","441"
"17-Jul","3595","469"
"18-Jul","3573","492"
"19-Jul","3542","521"
"20-Jul","3546","513"
"21-Jul","3493","522"
"22-Jul","3474","496"
"23-Jul","3402","507"
"24-Jul","3415","487"
"25-Jul","3365","502"
"26-Jul","3350","510"
"27-Jul","3347","507"
"28-Jul","3266","540"
"29-Jul","3254","515"
"30-Jul","3187","528"
"31-Jul","3157","509"
"01-Ago","3099","542"
"02-Ago","3083","525"
"03-Ago","3063","525"
"04-Ago","2959","519"
"05-Ago","2920","501"
"06-Ago","2922","494"
"07-Ago","2905","494"
"08-Ago","2820","555"
"09-Ago","2811","563"
"10-Ago","2769","585"
"11-Ago","2802","535"
"12-Ago","2790","537"
"13-Ago","2773","536"
"14-Ago","2796","508"
"15-Ago","2744","519"
"16-Ago","2726","535"
"17-Ago","2736","520"
"18-Ago","2706","534"
"19-Ago","2715","498"
"20-Ago","2676","507"
"21-Ago","2623","542"
"22-Ago","2539","578"
"23-Ago","2541","568"
"24-Ago","2553","544"
"25-Ago","2523","563"
"26-Ago","2508","580"
"27-Ago","2449","570"
"28-Ago","2476","521"
"29-Ago","2429","547"
"30-Ago","2412","568"
"31-Ago","2458","535"
"01-Sep","2426","552"
"02-Sep","2415","509"
"03-Sep","2411","500"
"04-Sep","2387","485"
"05-Sep","2348","511"
"06-Sep","2332","515"
"07-Sep","2360","480"
"08-Sep","2356","474"
"09-Sep","2311","499"
"10-Sep","2261","482"
"11-Sep","2256","477"
"12-Sep","2180","478"
"13-Sep","2174","474"
"14-Sep","2166","478"
"15-Sep","2140","495"
"16-Sep","2139","491"
"17-Sep","2068","532"
"18-Sep","2044","536"
"19-Sep","2015","564"
"20-Sep","2013","568"
"21-Sep","2062","527"
"22-Sep","2069","433"
"23-Sep","2059","400"
"24-Sep","2063","360"
"25-Sep","2051","366"
"26-Sep","2030","367"
