"Region","Antofagasta","Arica y Parinacota","Atacama","Aysén","Biobío","Coquimbo","Araucanía","O’Higgins","Los Lagos","Los Ríos","Magallanes","Maule","Metropolitana","Tarapacá","Valparaíso","Ñuble"
"18-Abr","2.3","2.0","0.0","0.0","1.0","0.1","2.9","0.1","0.8","0.9","11.6","1.8","3.1","1.6","0.8","1.7"
"19-Abr","2.3","1.7","0.0","0.0","1.0","0.0","2.8","0.1","0.8","0.8","12.6","2.1","3.1","1.6","0.9","1.8"
"20-Abr","2.4","2.6","0.0","0.0","1.0","0.1","3.5","0.1","0.7","0.8","12.1","2.1","3.2","1.5","0.8","1.9"
"21-Abr","2.8","2.8","0.0","0.0","0.9","0.1","3.9","0.1","0.8","0.7","13.1","2.2","3.0","1.6","0.9","2.0"
"22-Abr","3.1","3.2","0.0","0.0","1.0","0.1","4.0","0.1","0.9","0.7","12.9","2.2","3.1","1.9","0.9","1.9"
"23-Abr","3.1","4.6","0.2","0.0","1.0","0.0","3.7","0.3","0.9","0.7","11.9","2.1","3.1","2.3","0.7","1.9"
"24-Abr","3.2","5.9","0.4","0.0","0.9","0.1","3.9","0.4","0.8","0.7","9.9","1.6","3.2","2.3","0.7","1.6"
"25-Abr","3.4","5.8","0.5","0.0","0.8","0.1","3.6","0.4","0.8","0.7","10.7","0.9","3.5","2.3","0.7","1.6"
"26-Abr","4.0","6.1","0.7","0.0","0.7","0.1","3.4","0.5","0.8","0.7","9.2","0.7","3.7","2.5","0.6","1.5"
"27-Abr","4.0","5.9","1.0","0.0","0.7","0.1","2.7","0.5","0.8","0.6","8.4","0.7","3.9","2.6","0.7","1.5"
"28-Abr","3.9","5.6","1.0","0.0","0.6","0.1","2.2","0.6","0.7","0.5","8.0","0.9","4.4","2.4","0.7","1.5"
"29-Abr","3.9","5.2","1.3","0.0","0.5","0.1","2.3","0.6","0.6","0.4","8.7","0.8","4.9","2.6","0.8","1.6"
"30-Abr","4.3","3.9","1.1","0.0","0.4","0.1","2.1","0.5","0.5","0.6","8.8","0.8","5.6","2.6","0.9","1.7"
"01-May","4.6","3.3","1.0","0.0","0.4","0.1","1.6","0.4","0.7","0.5","8.2","0.6","6.6","2.5","1.0","1.5"
"02-May","5.9","3.5","1.6","0.0","0.5","0.1","1.6","0.5","0.8","0.7","7.8","0.6","7.9","2.6","1.2","1.4"
"03-May","6.1","3.2","1.7","0.0","0.5","0.3","1.6","0.5","0.7","0.7","8.7","0.5","9.1","4.3","1.3","1.5"
"04-May","6.3","2.4","1.6","0.0","0.5","0.3","1.3","0.5","0.8","0.7","9.9","0.5","10.0","4.9","1.2","1.3"
"05-May","6.8","2.7","2.0","0.0","0.6","0.4","1.4","0.6","0.8","0.7","9.3","0.3","11.3","5.7","1.4","1.2"
"06-May","7.0","2.6","1.7","0.0","0.6","0.4","1.3","0.6","1.0","0.6","8.3","0.2","11.8","5.8","1.4","0.8"
"07-May","7.2","2.6","2.0","0.1","0.7","0.4","1.3","0.6","0.9","0.5","8.9","0.3","12.7","8.2","1.6","0.7"
"08-May","6.9","1.7","2.0","0.1","1.0","0.6","1.5","0.8","0.8","0.5","11.3","0.4","13.1","9.7","1.9","0.7"
"09-May","5.5","1.7","2.6","0.1","1.1","0.9","1.5","0.9","0.7","0.4","10.3","0.5","12.8","10.2","1.9","0.7"
"10-May","4.9","1.8","2.6","0.1","1.2","0.8","1.8","1.0","0.9","0.3","9.3","0.6","13.5","9.3","2.1","0.7"
"11-May","5.2","2.4","2.9","0.1","1.5","0.8","1.9","1.2","1.1","0.3","8.5","0.7","13.7","9.4","2.3","0.8"
"12-May","6.2","2.0","2.5","0.1","1.4","0.9","1.8","1.3","1.1","0.4","8.1","0.7","14.1","9.6","2.5","1.0"
"13-May","7.5","2.3","2.7","0.1","1.6","1.0","1.9","1.5","1.4","0.4","8.2","1.0","16.5","10.3","3.0","1.3"
"14-May","7.9","2.2","2.4","0.0","1.6","1.1","2.1","2.1","1.4","0.4","7.9","1.3","18.3","9.9","3.1","1.6"
"15-May","8.4","2.3","2.5","0.0","1.7","1.2","2.3","2.2","1.5","0.6","5.6","1.5","19.9","11.9","3.5","2.5"
"16-May","10.0","2.3","1.3","0.0","1.6","1.0","2.4","2.1","1.4","0.5","5.7","1.5","20.8","13.4","3.5","3.4"
"17-May","10.9","2.2","1.1","0.0","1.7","1.0","2.1","2.5","1.2","0.5","5.4","1.7","21.7","17.0","3.9","3.6"
"18-May","11.9","2.7","1.1","0.0","1.8","1.2","2.4","2.9","1.0","0.6","5.6","1.9","23.1","19.0","4.2","4.8"
"19-May","11.1","4.0","1.1","0.0","2.0","1.6","2.6","3.1","1.0","0.6","5.0","2.2","26.2","19.8","4.4","4.5"
"20-May","10.6","3.7","1.1","0.0","2.1","1.9","2.6","3.0","0.6","1.2","4.5","2.5","28.5","19.6","4.7","4.8"
"21-May","10.3","5.1","1.3","0.0","2.3","1.8","2.5","2.5","1.0","1.5","4.2","2.7","30.6","21.0","4.9","4.8"
"22-May","10.5","5.8","1.5","0.0","2.4","1.7","2.4","2.4","1.2","1.5","4.4","3.1","33.5","22.9","5.2","3.9"
"23-May","9.7","5.9","1.6","0.0","2.4","1.8","2.6","2.7","1.3","1.9","3.6","3.4","36.2","23.4","5.5","4.4"
"24-May","9.1","6.8","1.5","0.0","2.7","2.2","2.8","2.7","1.4","2.5","3.9","4.0","38.4","22.0","5.5","4.5"
"25-May","8.8","6.5","1.3","0.3","2.7","2.2","3.1","2.5","1.8","2.6","3.6","4.4","43.0","21.4","5.5","4.3"
"26-May","8.6","5.7","1.4","0.5","2.8","2.5","3.1","3.1","2.0","2.6","4.7","4.7","43.4","23.4","5.9","4.4"
"27-May","8.4","6.6","1.5","0.5","2.9","3.3","3.3","3.4","2.0","2.2","4.8","4.9","43.7","25.1","5.9","4.6"
"28-May","9.7","6.2","1.5","0.8","3.6","3.7","3.4","3.5","1.9","2.1","4.2","4.9","44.4","26.5","6.1","5.2"
"29-May","9.8","6.3","1.5","1.1","4.0","4.4","3.5","3.6","1.7","2.4","4.4","5.0","43.2","26.1","6.0","6.1"
"30-May","11.0","6.0","1.5","1.1","4.6","5.2","4.0","3.4","2.1","2.5","4.6","5.5","43.7","29.1","6.7","5.0"
"31-May","11.6","6.9","1.6","1.2","4.9","5.2","3.7","3.3","2.0","2.3","3.7","5.1","45.6","29.7","6.8","4.3"
"01-Jun","11.8","7.0","2.1","0.9","5.3","5.6","3.6","3.2","1.6","2.3","3.3","4.9","46.3","33.4","7.6","4.2"
"02-Jun","12.1","7.5","2.2","0.8","5.0","5.2","3.6","2.7","1.8","2.3","2.3","4.6","45.6","32.0","8.3","4.0"
"03-Jun","12.0","9.1","2.0","0.8","5.6","4.5","3.6","3.5","2.0","2.2","2.1","6.7","46.0","32.5","8.7","4.3"
"04-Jun","12.7","9.9","2.5","0.7","5.4","5.0","3.2","3.8","1.8","2.1","2.3","7.7","45.7","31.8","9.4","4.7"
"05-Jun","12.5","11.3","2.8","0.4","5.2","5.0","4.2","3.9","2.3","2.1","2.0","8.3","46.0","32.5","10.4","5.2"
"06-Jun","12.5","13.1","3.0","0.4","5.2","5.1","3.7","5.1","2.0","1.9","2.2","9.0","47.4","31.5","11.2","6.0"
