"Region","Antofagasta","Arica y Parinacota","Atacama","Aysén","Biobío","Coquimbo","Araucanía","O’Higgins","Los Lagos","Los Ríos","Magallanes","Maule","Metropolitana","Tarapacá","Valparaíso","Ñuble"
"10-Sep","10.8","18.7","13.8","2.3","13.7","9.9","5.3","9.2","7.5","4.2","72.3","12.0","6.3","9.5","8.3","10.7"
"11-Sep","10.6","18.4","14.6","2.3","13.1","10.0","5.7","9.4","8.2","4.9","72.7","12.2","6.0","9.6","8.2","10.8"
"12-Sep","10.1","17.8","14.9","1.6","13.2","10.3","6.1","10.0","8.1","5.7","77.2","13.0","5.9","9.6","8.1","11.7"
"13-Sep","9.4","17.8","14.7","2.4","12.8","10.3","6.7","10.6","6.9","6.8","84.8","13.6","5.7","10.4","8.1","12.0"
"14-Sep","9.1","17.1","15.2","4.1","12.6","10.0","6.8","10.4","7.1","7.2","75.8","13.2","5.7","11.1","8.5","12.8"
"15-Sep","8.8","17.5","16.3","5.3","12.8","10.6","7.6","10.8","8.1","7.5","74.4","13.5","5.6","11.1","8.7","13.5"
"16-Sep","8.5","18.4","14.3","5.6","12.6","10.1","7.6","11.1","7.9","7.1","82.7","13.5","5.4","10.1","8.7","13.4"
"17-Sep","7.8","18.2","14.9","6.0","12.7","9.8","7.4","11.6","8.9","6.9","96.4","13.6","5.4","10.7","8.3","13.9"
"18-Sep","7.5","17.7","14.1","7.7","12.8","9.4","7.2","11.6","8.3","6.5","96.0","13.2","5.3","10.7","8.4","13.2"
"19-Sep","7.2","19.0","15.9","10.4","12.5","8.3","7.4","11.1","10.2","5.4","88.3","12.8","5.1","10.0","8.2","12.2"
"20-Sep","6.9","19.0","15.3","10.3","11.7","7.3","7.1","10.9","10.7","4.3","85.8","12.0","5.0","9.0","7.5","11.5"
"21-Sep","6.0","16.9","15.9","9.9","11.1","6.5","7.7","11.1","10.3","4.7","96.6","11.5","4.6","8.7","6.6","10.4"
"22-Sep","5.9","16.0","13.4","10.1","10.8","5.3","7.5","10.0","9.7","4.4","100.8","11.6","4.4","8.4","5.9","9.5"
"23-Sep","6.1","15.9","15.0","12.0","11.0","5.0","8.0","10.3","9.9","4.8","97.6","12.0","4.3","8.2","5.9","9.4"
"24-Sep","6.5","16.5","14.2","13.0","11.1","4.7","7.9","10.1","9.9","5.7","95.1","11.6","4.2","7.2","6.1","8.8"
"25-Sep","7.0","18.1","14.6","13.2","11.4","4.2","9.1","10.3","12.3","6.4","109.0","11.7","4.3","7.1","5.9","8.6"
"26-Sep","7.5","17.7","12.6","13.0","11.8","4.2","9.2","10.2","11.3","7.8","114.5","12.2","4.5","8.0","6.1","9.3"
"27-Sep","8.4","19.3","13.5","13.0","12.3","4.9","9.9","10.1","12.4","9.3","110.1","12.5","4.4","8.8","6.3","9.0"
"28-Sep","8.8","22.5","14.0","11.8","13.0","5.3","9.8","9.7","14.5","9.3","108.8","12.9","4.8","8.9","6.7","9.2"
"29-Sep","8.3","23.9","14.8","21.8","12.9","5.7","9.3","10.6","16.2","10.8","119.5","12.7","4.9","9.4","7.1","9.7"
"30-Sep","8.5","25.0","13.9","24.5","12.6","6.0","10.5","10.3","16.4","11.4","122.8","12.4","5.2","10.5","7.3","9.7"
"01-Oct","8.0","26.0","14.6","25.6","12.1","5.8","11.7","10.2","16.9","11.4","117.5","12.5","5.2","11.6","7.1","9.9"
"02-Oct","7.9","26.5","14.1","26.0","11.4","5.7","11.4","9.6","15.9","12.1","105.3","12.3","5.3","11.4","6.7","10.1"
"03-Oct","7.9","27.3","13.9","28.1","10.7","5.8","12.1","9.5","16.9","12.1","108.0","11.4","4.9","12.3","6.4","8.9"
"04-Oct","7.2","26.1","12.4","31.4","10.7","5.0","12.3","8.9","16.6","12.0","113.6","11.2","4.8","11.3","6.5","8.0"
"05-Oct","7.5","24.6","10.6","31.6","10.3","4.6","13.4","9.2","16.7","11.5","107.2","11.3","4.7","11.1","6.3","7.5"
"06-Oct","7.6","24.4","10.8","21.0","10.3","4.5","14.5","8.6","17.0","11.7","111.4","11.4","4.6","10.7","6.2","6.8"
"07-Oct","6.9","23.5","10.6","19.6","10.0","4.3","13.4","7.9","17.4","11.4","108.6","10.5","4.3","10.0","6.1","6.7"
"08-Oct","7.5","23.5","10.4","17.2","9.6","4.3","14.2","7.7","17.4","11.3","111.1","10.0","4.1","9.3","5.8","6.6"
"09-Oct","7.5","22.0","9.7","19.3","9.5","3.9","15.1","7.6","17.0","11.3","116.0","9.7","4.0","8.7","5.7","6.0"
"10-Oct","7.0","20.7","10.0","17.3","9.9","3.3","15.1","7.4","16.7","11.1","118.8","9.9","4.1","7.3","5.6","5.8"
"11-Oct","7.2","19.7","10.2","17.3","10.0","3.2","15.7","7.9","17.9","11.0","111.0","9.9","4.1","8.7","5.3","6.0"
"12-Oct","7.3","20.6","10.8","19.4","10.3","3.0","15.4","7.4","17.1","11.3","107.6","9.9","4.0","8.6","5.4","6.2"
"13-Oct","7.3","20.1","9.9","20.5","10.8","2.9","15.8","7.8","17.4","10.8","90.3","9.7","4.0","8.2","5.1","6.9"
"14-Oct","7.4","20.1","9.6","19.7","11.2","2.7","16.0","7.8","17.8","10.2","87.5","9.8","4.0","8.4","4.8","7.1"
"15-Oct","6.8","19.2","8.8","22.1","11.3","2.5","15.2","7.3","17.7","9.6","80.3","8.9","3.9","7.8","4.8","6.0"
"16-Oct","6.3","19.5","8.9","20.1","12.4","2.6","14.7","6.9","19.3","9.9","71.1","8.3","3.8","8.5","4.7","5.5"
"17-Oct","6.8","19.4","8.9","21.4","12.4","2.6","14.1","7.8","20.3","11.1","51.7","8.7","3.9","8.7","4.6","6.0"
"18-Oct","6.3","19.9","8.8","18.0","12.7","2.8","14.9","7.9","20.6","11.0","48.5","8.6","3.9","6.9","4.6","5.8"
"19-Oct","5.8","18.0","8.8","19.2","12.4","2.6","14.7","8.4","21.2","11.3","50.1","8.4","4.0","7.2","4.5","6.3"
"20-Oct","6.1","16.8","8.5","20.1","12.0","2.5","13.9","8.0","20.1","11.5","48.0","8.3","4.0","7.3","4.5","5.5"
"21-Oct","6.0","16.1","8.0","22.0","12.0","2.6","14.5","8.3","20.6","11.7","44.5","8.1","3.9","7.8","4.7","5.5"
"22-Oct","6.2","16.6","8.4","20.5","12.1","2.5","14.0","8.6","22.3","13.1","45.5","8.6","4.1","8.4","4.8","6.4"
"23-Oct","6.0","16.1","8.7","21.2","11.6","2.3","16.1","8.8","22.6","12.6","45.1","8.7","4.1","8.5","4.6","7.3"
"24-Oct","5.7","16.6","7.5","20.0","11.6","2.2","17.3","7.8","22.3","12.1","46.3","8.0","4.1","8.1","4.4","7.0"
"25-Oct","5.9","15.9","7.5","19.2","11.1","2.0","16.5","7.2","22.3","12.7","45.9","7.8","4.0","8.6","4.2","6.9"
"26-Oct","6.0","16.7","6.9","17.3","11.6","2.0","17.4","6.5","22.6","13.2","43.0","7.6","3.9","8.7","4.1","6.5"
"27-Oct","5.6","16.7","7.1","14.9","11.8","1.7","17.6","6.0","23.2","13.9","38.6","7.1","3.7","9.3","4.0","6.6"
"28-Oct","5.8","15.8","7.1","11.1","11.6","1.7","17.8","5.5","22.5","14.8","38.4","6.9","3.7","9.0","3.8","6.6"
"29-Oct","6.2","15.7","6.6","11.1","11.8","1.8","18.8","5.4","22.2","13.9","37.4","7.3","3.7","8.8","3.6","6.8"
"30-Oct","6.3","15.2","6.6","9.1","11.4","1.8","16.7","5.2","21.7","15.0","36.8","7.8","3.6","9.1","3.6","6.6"
"31-Oct","5.6","14.8","6.9","7.7","11.4","1.7","16.7","4.7","21.4","16.6","40.0","7.8","3.7","10.2","3.5","7.2"
"01-Nov","5.6","13.9","6.4","8.8","11.4","1.6","17.3","4.6","21.9","17.4","41.3","7.5","3.6","10.0","3.7","8.0"
"02-Nov","5.5","12.6","5.5","9.1","11.2","1.6","16.4","4.6","22.5","18.7","39.0","7.2","3.6","9.7","3.5","7.4"
"03-Nov","5.4","12.9","5.1","8.7","11.1","1.7","16.8","4.5","21.9","18.6","42.5","7.4","3.7","8.5","3.5","8.2"
"04-Nov","4.9","12.9","4.6","10.4","11.2","1.6","16.0","4.4","22.0","19.0","42.5","7.4","3.6","8.2","3.5","7.7"
"05-Nov","4.3","12.1","4.0","9.5","11.5","1.4","17.1","4.1","21.1","20.6","44.3","7.1","3.6","8.6","3.5","7.1"
"06-Nov","4.3","12.1","3.0","9.9","12.0","1.4","18.3","4.2","22.5","20.9","46.1","6.4","3.7","8.9","3.5","7.0"
"07-Nov","5.0","11.5","2.0","9.6","12.3","1.3","18.4","4.1","23.3","19.7","44.0","6.5","3.5","8.1","3.5","6.5"
"08-Nov","4.4","12.1","1.8","9.1","12.7","1.2","19.0","4.1","22.0","20.2","43.5","6.3","3.6","8.7","3.4","6.3"
"09-Nov","4.3","13.0","1.7","7.9","12.7","1.3","19.3","4.3","21.5","19.7","44.0","6.4","3.5","9.1","3.4","7.2"
"10-Nov","4.4","12.4","1.7","8.1","12.5","1.2","20.0","4.3","22.8","19.7","43.1","6.3","3.4","10.6","3.4","7.0"
"11-Nov","4.3","12.3","1.5","7.2","12.9","1.1","20.6","4.3","22.8","20.2","40.5","6.4","3.4","10.7","3.5","7.2"
"12-Nov","4.5","11.7","1.6","7.3","13.7","1.3","19.5","4.2","23.8","21.2","38.8","6.3","3.3","11.2","3.6","8.0"
"13-Nov","4.7","10.3","2.3","6.7","13.9","1.2","18.0","3.9","22.7","21.9","37.1","7.0","3.1","10.9","3.8","8.2"
"14-Nov","4.4","9.9","2.5","6.3","14.1","1.3","18.8","4.3","22.6","22.4","38.6","6.7","3.1","10.6","3.7","8.2"
"15-Nov","4.9","9.3","2.6","7.3","14.0","1.3","17.7","3.8","24.1","23.1","36.0","6.9","3.2","10.0","3.7","7.9"
"16-Nov","4.5","8.4","2.8","7.1","14.6","1.2","17.1","3.9","25.0","23.1","35.0","6.7","3.2","8.7","3.6","9.1"
"17-Nov","4.4","8.0","2.9","7.3","14.9","1.2","16.4","4.0","24.1","23.9","34.0","6.9","3.2","8.8","3.6","8.9"
"18-Nov","4.3","8.0","3.5","7.3","14.9","1.2","15.7","4.0","24.4","23.3","34.7","7.0","3.2","8.9","3.5","9.0"
"19-Nov","4.0","7.6","3.7","7.2","14.5","1.2","15.7","4.1","24.2","21.6","33.2","7.2","3.3","7.9","3.3","8.9"
"20-Nov","3.7","8.5","3.4","7.1","14.2","1.5","16.2","3.9","23.6","22.5","35.4","6.3","3.3","7.7","3.2","9.2"
"21-Nov","3.4","7.6","3.3","8.1","14.3","1.6","15.2","3.8","23.5","22.6","31.8","6.3","3.4","7.7","3.2","9.6"
"22-Nov","3.0","7.1","4.0","7.1","14.3","1.7","15.3","4.1","22.4","21.9","34.0","6.4","3.3","7.4","3.0","10.4"
"23-Nov","3.1","7.1","4.2","6.7","14.4","1.9","15.7","4.0","21.4","22.8","36.4","6.3","3.4","8.3","3.2","9.1"
"24-Nov","3.1","7.0","4.2","6.3","14.3","2.2","15.3","4.1","20.8","22.0","40.8","6.2","3.5","6.8","3.4","9.4"
"25-Nov","3.2","6.4","3.6","6.3","14.7","2.3","15.6","4.0","20.0","22.3","41.8","6.1","3.5","7.0","3.4","9.6"
"26-Nov","3.3","6.2","3.5","5.9","14.9","2.4","15.5","4.0","19.8","23.1","45.0","6.1","3.5","8.0","3.6","10.1"
"27-Nov","3.4","5.0","3.6","6.0","15.6","2.3","15.4","4.1","19.1","21.7","45.6","6.3","3.5","8.4","3.5","9.7"
"28-Nov","3.4","5.4","4.4","5.3","15.5","2.5","15.9","4.0","18.1","21.6","48.9","6.1","3.7","8.8","3.9","10.1"
"29-Nov","3.6","5.4","3.7","5.6","15.6","3.0","15.3","3.9","17.7","20.8","49.3","5.8","3.8","8.6","4.0","10.0"
"30-Nov","4.0","5.4","3.8","6.8","15.4","3.0","15.3","3.7","16.5","19.4","48.3","6.1","3.7","8.6","4.0","10.2"
"01-Dic","4.1","5.3","3.5","6.7","16.3","2.9","16.0","3.6","16.7","19.6","47.3","6.0","3.7","9.5","3.8","10.2"
"02-Dic","4.1","5.4","3.7","5.7","16.0","2.8","16.5","4.1","16.6","19.3","45.4","6.3","3.8","8.5","3.9","9.9"
"03-Dic","3.7","5.0","3.7","5.7","16.7","2.9","15.9","4.4","15.5","20.5","43.8","6.0","3.8","7.2","3.8","9.9"
"04-Dic","3.6","5.2","3.6","5.5","16.6","2.9","16.3","4.6","15.6","19.8","43.3","5.6","4.0","7.2","4.0","10.8"
"05-Dic","3.5","5.0","3.1","4.9","16.8","3.3","15.8","4.3","15.2","18.9","41.1","5.7","4.0","6.0","3.9","10.3"
"06-Dic","3.7","4.9","2.8","4.5","17.8","2.9","15.5","4.4","14.6","19.7","41.7","5.9","4.2","6.9","4.0","10.1"
"07-Dic","3.3","4.6","2.6","4.0","18.8","3.6","17.5","4.7","15.0","20.6","43.5","6.0","4.2","8.5","4.2","9.9"
"08-Dic","3.5","4.6","2.9","4.4","18.5","3.7","17.2","5.1","15.1","20.8","42.2","7.3","4.5","7.8","4.5","10.1"
"09-Dic","3.6","5.0","3.0","5.9","19.0","3.7","16.6","5.0","15.4","20.8","47.3","7.1","4.6","8.5","4.4","10.4"
"10-Dic","4.0","5.3","3.1","5.6","19.2","3.9","16.3","4.7","16.9","20.1","45.5","7.4","4.7","9.0","4.3","10.5"
"11-Dic","4.0","5.3","3.1","6.0","18.9","4.0","16.3","4.6","15.8","20.4","44.3","7.8","4.5","9.2","4.3","10.1"
"12-Dic","4.2","6.3","2.8","5.9","19.9","3.3","16.1","4.9","16.6","20.9","45.4","8.3","4.6","9.1","4.4","10.1"
"13-Dic","4.9","6.9","3.1","6.4","20.2","3.4","18.0","5.0","16.8","21.8","46.6","9.0","4.7","10.6","4.5","10.3"
"14-Dic","5.5","7.4","2.9","6.3","20.4","3.8","15.7","4.8","16.4","22.0","48.8","9.6","5.0","9.9","4.5","10.6"
"15-Dic","5.7","7.9","2.7","6.1","20.6","4.2","16.2","4.6","16.3","21.5","48.5","9.4","5.0","11.9","4.6","10.2"
"16-Dic","5.9","7.5","2.5","5.6","20.7","4.4","15.8","4.6","16.2","21.9","46.1","10.5","5.0","13.7","4.9","10.6"
"17-Dic","6.6","6.6","2.7","6.7","20.8","4.5","16.1","4.8","16.2","21.4","47.7","10.6","5.2","15.5","5.5","10.5"
"18-Dic","7.4","8.7","2.8","6.3","22.4","4.9","16.4","5.0","17.2","23.0","47.7","11.7","5.8","15.6","5.8","10.6"
"19-Dic","7.8","7.5","3.1","8.0","22.4","5.0","17.8","5.5","16.7","24.9","46.2","12.6","5.9","17.8","6.0","10.9"
"20-Dic","7.4","7.8","3.5","8.3","22.4","5.6","17.1","5.6","17.4","23.3","44.3","13.1","6.0","17.3","6.0","11.3"
"21-Dic","7.7","7.4","4.0","8.4","22.6","4.7","18.1","5.9","17.9","22.3","40.4","13.8","5.8","17.8","6.1","11.2"
"22-Dic","8.2","7.3","4.7","8.9","22.7","4.9","17.8","5.8","19.2","23.3","43.2","13.8","5.8","18.6","6.2","11.4"
"23-Dic","8.5","7.8","4.9","9.2","22.9","5.0","18.5","6.2","20.7","23.5","42.6","14.1","6.0","18.1","6.2","11.4"
"24-Dic","8.7","9.9","5.1","9.7","23.1","5.1","19.3","6.0","20.0","23.8","43.7","16.1","6.1","18.5","6.3","12.1"
"25-Dic","9.4","8.3","5.6","11.6","22.7","5.1","18.8","6.1","21.8","22.2","46.1","16.7","6.0","19.9","6.5","12.7"
"26-Dic","9.7","9.0","5.5","11.8","22.7","5.2","18.3","6.2","23.7","21.9","45.3","17.7","6.1","21.3","6.6","14.2"
"27-Dic","9.6","7.8","5.3","11.5","21.7","4.6","17.8","6.2","23.2","20.3","40.3","17.7","5.9","22.5","6.4","14.1"
"28-Dic","9.4","8.0","4.9","15.4","20.0","4.5","17.7","6.2","23.5","18.9","40.1","18.5","6.0","22.5","6.3","16.0"
"29-Dic","9.3","8.7","4.4","16.5","20.6","4.2","17.4","6.2","23.7","21.2","39.2","19.4","6.3","21.9","5.9","16.4"
"30-Dic","10.2","9.3","4.0","17.8","21.0","4.3","16.9","6.2","22.8","21.4","39.8","19.5","6.5","24.2","6.1","16.5"
"31-Dic","11.2","8.7","3.8","18.8","22.4","4.4","17.4","6.6","24.3","22.7","39.9","19.0","6.9","23.7","6.5","16.5"
"01-Ene","11.9","10.4","3.5","18.2","23.1","4.8","18.1","7.9","25.5","25.0","42.4","20.1","7.4","26.3","7.1","17.1"
"02-Ene","13.8","11.8","4.7","18.4","23.7","5.0","18.4","8.0","28.8","27.2","44.9","17.9","7.9","26.8","8.3","15.6"
"03-Ene","14.7","12.9","5.2","18.6","24.1","5.3","18.1","8.3","28.7","28.8","46.1","21.6","8.0","26.8","8.6","16.0"
"04-Ene","15.7","12.5","6.2","17.2","23.9","5.4","20.4","8.4","30.8","30.6","46.3","22.9","7.9","28.3","9.0","14.7"
"05-Ene","17.0","12.5","6.1","16.0","23.8","5.9","20.8","9.2","30.6","28.4","46.7","23.6","8.2","33.8","9.5","14.9"
"06-Ene","18.2","12.5","6.5","16.4","23.5","5.6","21.9","9.8","32.5","29.8","52.9","23.6","8.2","34.3","9.7","14.9"
"07-Ene","20.4","13.3","7.9","15.7","23.2","5.9","21.9","10.8","35.9","31.9","56.1","23.8","8.2","36.2","10.2","14.4"
"08-Ene","21.7","13.0","9.4","19.4","23.0","5.8","23.7","10.5","37.9","34.4","55.8","23.9","8.3","40.1","10.8","14.4"
"09-Ene","23.6","14.7","10.1","22.2","23.9","6.1","25.0","10.9","39.9","36.3","56.5","27.2","8.4","42.8","10.9","15.4"
"10-Ene","26.8","15.8","11.3","25.6","25.3","6.7","27.2","12.2","45.7","41.7","61.9","25.2","9.2","45.9","12.6","16.4"
"11-Ene","30.7","20.7","10.1","26.9","28.2","8.3","25.5","13.6","50.4","46.2","63.3","24.2","9.8","48.5","13.0","16.9"
"12-Ene","32.6","22.0","13.7","26.6","28.4","8.5","27.3","13.7","53.8","47.8","66.5","24.0","9.8","47.6","13.9","17.8"
"13-Ene","33.7","22.3","16.0","28.9","28.5","9.2","28.3","13.3","58.9","48.3","65.4","26.6","10.1","49.7","14.3","18.3"
"14-Ene","33.2","25.6","16.6","30.1","27.8","9.2","29.7","13.2","60.2","48.8","63.2","29.4","10.1","55.3","14.2","18.4"
"15-Ene","33.7","26.2","16.9","31.6","28.9","10.0","29.5","13.7","63.2","46.9","62.3","30.6","9.9","54.3","13.8","18.3"
"16-Ene","37.3","26.7","18.4","29.7","28.3","10.4","28.7","13.8","63.3","47.2","60.2","30.5","9.8","53.0","13.3","18.7"
"17-Ene","40.7","30.7","18.7","30.5","27.7","10.4","28.8","13.7","65.4","46.7","56.6","31.3","9.6","54.8","12.7","18.0"
"18-Ene","41.7","30.5","21.1","29.3","26.9","9.7","29.6","13.5","63.9","46.0","57.7","32.5","9.4","55.8","12.6","19.1"
"19-Ene","44.5","31.4","19.0","34.2","27.3","10.2","29.0","13.9","65.0","48.8","52.5","32.8","9.3","54.8","12.1","19.5"
"20-Ene","44.0","32.0","17.8","34.8","27.8","10.6","30.6","15.1","64.9","50.0","48.9","32.2","9.3","56.6","11.9","20.0"
"21-Ene","43.5","31.1","19.2","35.7","27.9","11.3","30.4","15.5","65.3","51.1","51.4","30.7","9.4","54.3","12.7","21.1"
"22-Ene","49.1","33.0","20.2","33.7","27.7","11.1","29.7","17.0","66.6","54.3","52.1","29.7","9.6","51.2","12.8","22.0"
"23-Ene","47.0","33.4","19.4","35.0","28.4","11.5","30.6","16.9","69.8","53.1","53.6","29.6","9.4","51.6","12.9","23.0"
"24-Ene","44.6","31.7","19.7","36.3","28.4","12.2","30.9","17.4","71.0","54.0","55.9","27.7","9.9","49.5","12.8","24.0"
"25-Ene","43.3","30.7","20.4","37.8","28.6","12.5","31.2","17.4","71.7","54.2","56.0","28.1","10.1","47.7","12.8","22.8"
"26-Ene","40.8","30.7","22.1","34.6","27.6","12.9","32.1","17.5","73.2","53.5","56.1","28.0","10.2","45.6","12.8","22.6"
"27-Ene","41.1","32.9","23.1","31.7","27.0","13.0","32.3","17.9","70.0","54.1","55.3","28.2","10.2","44.0","12.8","22.6"
"28-Ene","44.0","33.4","22.5","29.4","26.9","13.1","31.3","17.8","71.3","52.8","51.1","27.7","10.4","40.5","12.0","22.7"
"29-Ene","40.2","34.1","21.2","28.2","25.7","14.0","30.0","17.6","69.8","52.8","51.0","29.2","10.3","41.8","12.2","22.9"
"30-Ene","38.7","34.5","21.8","28.6","24.1","14.0","30.2","18.8","65.8","51.2","50.3","29.7","10.5","40.3","11.9","22.2"
"31-Ene","39.6","35.8","23.6","26.8","24.6","14.1","30.1","18.4","63.3","49.8","50.6","31.8","10.0","38.9","11.8","21.5"
"01-Feb","38.5","36.9","26.0","23.7","23.7","14.4","30.4","18.7","63.2","48.3","49.3","31.4","9.7","36.3","12.1","22.7"
"02-Feb","39.8","37.9","25.2","22.6","23.9","14.4","28.6","19.2","59.6","46.4","49.6","32.2","9.5","46.0","11.6","22.3"
"03-Feb","39.0","36.0","24.8","23.8","23.4","14.3","26.4","18.2","58.5","46.6","49.5","30.6","9.3","44.3","11.3","22.1"
"04-Feb","38.9","34.9","23.9","24.1","22.7","14.8","26.0","17.3","55.3","45.2","49.6","30.9","8.7","45.6","11.2","22.7"
"05-Feb","38.8","33.4","23.9","23.3","22.6","15.7","28.2","15.8","52.1","40.7","48.8","29.1","8.4","42.9","10.6","21.1"
"06-Feb","39.2","33.4","24.2","20.5","22.7","16.3","27.7","15.4","51.1","40.8","47.8","28.7","8.4","43.4","10.8","21.1"
"07-Feb","36.6","32.9","22.2","19.7","21.7","16.8","27.3","15.8","48.7","40.1","46.9","28.8","8.5","42.4","10.6","21.1"
"08-Feb","38.2","32.4","19.9","22.1","22.0","17.1","25.5","15.3","45.7","40.4","45.8","28.0","8.5","44.2","10.6","20.7"
"09-Feb","36.5","30.5","19.9","21.8","21.8","17.1","27.4","14.7","45.7","39.4","43.0","27.1","8.6","34.3","10.9","21.6"
"10-Feb","36.2","31.3","20.2","19.4","22.1","16.9","26.9","14.2","44.5","36.8","45.2","26.2","8.7","32.4","11.2","21.7"
"11-Feb","35.7","31.9","19.7","20.8","22.4","16.6","28.4","14.9","42.8","36.4","45.6","26.1","8.9","30.9","11.2","21.5"
"12-Feb","35.2","32.7","20.5","20.4","24.0","16.0","27.3","15.1","41.8","39.5","40.2","26.4","9.3","31.5","11.2","24.0"
"13-Feb","35.2","30.2","19.8","22.9","24.1","15.4","28.1","15.2","39.9","38.5","41.8","25.6","9.3","31.6","11.0","25.4"
"14-Feb","35.6","31.2","19.6","22.1","24.9","15.9","28.5","15.0","39.1","36.7","39.8","23.7","9.4","32.7","11.4","25.9"
"15-Feb","33.2","30.8","20.4","20.8","25.1","16.1","29.8","14.4","38.4","37.1","38.2","23.1","9.5","31.6","11.0","26.9"
"16-Feb","31.8","30.9","20.5","22.1","25.5","15.5","28.6","13.7","36.7","38.1","39.1","21.9","9.6","30.9","11.2","25.5"
"17-Feb","31.3","30.3","20.4","21.3","25.8","15.0","29.9","13.9","36.6","36.8","35.1","21.3","9.7","29.9","11.3","25.1"
"18-Feb","30.6","31.6","19.9","21.4","26.0","15.6","28.6","13.7","36.3","36.4","34.8","21.3","9.9","32.5","11.6","25.2"
"19-Feb","29.5","31.7","18.7","22.4","24.8","15.2","28.7","13.8","35.0","36.0","37.4","20.6","9.9","31.5","12.3","22.7"
"20-Feb","29.1","33.3","19.6","20.9","25.9","15.9","28.7","13.0","34.1","35.6","35.4","20.4","9.8","30.8","13.2","21.5"
"21-Feb","28.9","31.7","21.1","19.8","25.8","16.1","27.9","12.7","31.9","38.2","36.9","21.1","9.7","30.3","12.9","20.9"
"22-Feb","29.2","32.8","18.7","19.3","25.8","16.3","28.8","13.2","30.6","38.1","36.2","21.4","10.0","30.2","13.4","19.6"
"23-Feb","29.5","33.3","20.0","18.6","26.0","16.7","28.2","12.6","29.6","37.6","34.8","21.1","9.9","30.3","13.3","19.1"
"24-Feb","29.4","33.2","20.9","18.2","26.3","17.0","28.4","13.3","29.4","38.4","35.5","21.3","10.0","29.9","13.4","19.4"
"25-Feb","29.3","32.4","21.3","16.5","26.9","17.2","29.6","13.6","29.2","42.7","33.2","21.2","9.9","29.6","14.3","18.7"
"26-Feb","29.3","31.6","22.7","15.7","28.2","18.5","31.8","15.1","29.1","44.0","30.6","21.2","10.3","29.9","14.4","19.9"
"27-Feb","29.2","31.8","21.8","14.2","28.4","18.6","31.7","16.1","30.2","48.7","30.2","21.7","10.8","30.2","14.9","19.0"
"28-Feb","29.1","29.9","20.9","13.3","29.3","18.8","33.2","16.7","30.8","50.2","27.6","20.8","11.4","29.1","15.9","18.1"
"01-Mar","28.8","27.4","20.8","12.6","30.5","19.3","34.2","17.9","31.8","51.2","29.0","20.8","11.6","27.5","16.4","19.5"
"02-Mar","28.4","27.1","21.3","12.0","31.2","20.3","36.5","19.7","32.3","51.7","28.0","21.1","11.4","26.0","16.8","19.9"
"03-Mar","29.1","26.2","21.2","12.8","31.6","20.8","36.2","20.2","32.6","54.7","26.9","21.6","11.8","27.7","17.0","18.9"
"04-Mar","28.1","25.6","21.5","13.0","33.1","21.4","36.3","20.3","32.7","54.4","29.1","21.7","12.1","25.3","16.8","20.6"
"05-Mar","27.4","25.9","21.7","13.2","33.4","21.6","36.4","19.5","34.8","56.7","29.8","22.1","13.0","25.5","17.2","20.2"
"06-Mar","26.2","24.9","21.0","13.3","35.1","22.2","36.5","19.9","34.8","60.3","29.1","22.9","13.4","21.3","17.3","21.5"
"07-Mar","25.9","24.3","21.7","14.1","36.3","23.2","37.2","21.2","36.3","58.2","29.8","24.5","14.3","18.3","17.7","23.0"
"08-Mar","25.1","26.0","23.2","14.0","37.5","23.6","37.1","21.8","36.5","61.2","27.6","25.1","14.9","17.8","18.1","21.8"
"09-Mar","25.6","24.4","20.8","14.2","38.4","23.6","37.4","21.9","38.2","64.6","29.0","24.9","15.5","19.1","18.7","23.0"
"10-Mar","24.9","24.9","21.6","13.7","39.4","24.0","38.2","21.5","37.7","64.8","27.8","25.5","16.2","27.2","19.1","24.7"
"11-Mar","25.3","26.2","22.2","13.2","40.0","23.7","39.3","21.9","37.8","65.3","25.2","26.6","17.3","27.6","20.1","23.0"
"12-Mar","25.9","25.8","22.1","11.5","42.6","23.8","39.7","23.2","36.9","65.8","24.6","27.0","17.3","29.2","21.0","24.9"
"13-Mar","25.8","25.9","23.2","10.4","43.2","24.2","41.6","23.6","36.7","63.0","25.1","26.3","18.1","34.8","21.9","25.6"
"14-Mar","25.5","26.1","24.2","9.3","44.7","23.7","42.4","23.2","35.6","65.4","24.6","26.1","18.4","40.6","22.1","25.4"
"15-Mar","26.7","27.9","24.2","10.4","45.4","23.1","41.4","22.7","34.7","63.1","24.3","25.4","18.9","43.3","22.9","26.0"
"16-Mar","26.5","28.8","25.2","10.5","47.8","23.2","42.4","24.6","34.6","63.0","22.3","27.5","19.8","42.5","22.5","25.7"
"17-Mar","26.7","32.9","24.7","12.0","47.8","22.9","43.9","25.5","35.1","64.0","22.0","27.6","20.1","33.4","24.1","26.0"
"18-Mar","26.8","34.6","24.2","11.7","46.7","23.6","45.3","26.8","34.1","64.7","21.1","26.8","20.9","34.7","25.3","26.1"
"19-Mar","26.2","35.1","25.2","11.7","46.5","23.7","45.9","26.9","33.1","66.4","19.8","27.0","21.8","34.2","25.8","26.7"
"20-Mar","27.2","36.7","25.3","13.7","47.7","24.2","48.3","28.0","33.1","66.5","18.6","28.9","22.6","32.8","26.8","26.3"
